"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-acetylneuraminate","N-Acetylneuraminate",NA,"3568","C00270",NA,"1"
"Alanyl-Glycine","Alanylglycine","HMDB0006899","6998028",NA,"C[C@H](N)C(=O)NCC(O)=O","1"
"Tyrosyl-Glycine","Tyrosylglycine","HMDB0029105","7021853",NA,"N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O","1"
"vaccenate","Vaccenic acid","HMDB0003231","5281127","C08367","CCCCCC\C=C\CCCCCCCCCC(O)=O","1"
"docosadienoate","Docosadienoate (22:2n6)","HMDB0061714","5312554","C16533","CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O","1"
"inositol 2-phosphate","NA","NA","NA","NA","NA","0"
"fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"L-Cysteinyl-Glycine","NA","NA","NA","NA","NA","0"
"N-acetylalanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@H](NC(C)=O)C(O)=O","1"
"benzoate","Benzoic acid","HMDB0001870","243","C00180","OC(=O)C1=CC=CC=C1","1"
"1-oleoyl-GPI","NA","NA","NA","NA","NA","0"
"phenyllactate","D-Phenyllactic acid","HMDB0000563","444718","C05607","[H][C@](O)(CC1=CC=CC=C1)C(O)=O","1"
"L-gamma-Glutamyl-cysteine","NA","NA","NA","NA","NA","0"
"nonadecanoate","Nonadecanoic acid","HMDB0000772","12591","C16535","CCCCCCCCCCCCCCCCCCC(O)=O","1"
"N-Acetyl-L-phenylalanine","N-Acetyl-L-phenylalanine","HMDB0000512","74839","C03519","CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"erythronate","Erythronic acid","HMDB0000613","2781043",NA,"OC[C@@H](O)[C@@H](O)C(O)=O","1"
"oleate","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"17-methylstearate","17-Methyloctadecanoic acid","HMDB0037397","3083779",NA,"CC(C)CCCCCCCCCCCCCCCC(O)=O","1"
"4-guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"13-octadecenoate","NA","NA","NA","NA","NA","0"
"homocysteine","Homocysteine","HMDB0000742","91552","C00155","N[C@@H](CCS)C(O)=O","1"
"N-acetyl-Valine","NA","NA","NA","NA","NA","0"
"N-acetyl-L-tyrosine","N-Acetyl-L-tyrosine","HMDB0000866","68310","C01657","CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"5-hydroxymethylfurfural","5-Hydroxymethyl-2-furancarboxaldehyde","HMDB0034355","237332","C11101","OCC1=CC=C(O1)C=O","1"
"1-palmitoyl-GPE","NA","NA","NA","NA","NA","0"
"5-methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"sphingosine","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"O-Phosphorylethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","NCCOP(O)(O)=O","1"
"Glycerol phosphate","NA","NA","NA","NA","NA","0"
"NAc-Methionine","NA","NA","NA","NA","NA","0"
"N-Glycolyl-D-hexosamine","NA","NA","NA","NA","NA","0"
"N-Acetyl-D-hexosaminate","NA","NA","NA","NA","NA","0"
"Hexose phosphate","NA","NA","NA","NA","NA","0"
"Nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"D-myo-lnositol- 1 -phosphate","NA","NA","NA","NA","NA","0"
"cCMP","NA","NA","NA","NA","NA","0"
"dCMP","dCMP","HMDB0001202","13945","C00239","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"Glucose bisphosphate","NA","NA","NA","NA","NA","0"
"Glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"CMP","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"UMP","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"Hexosyl-glycerol phosphate","NA","NA","NA","NA","NA","0"
"Hydroxymethylglutathione","NA","NA","NA","NA","NA","0"
"cGMP","Cyclic GMP","HMDB0001314","24316","C00942","NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1","1"
"dGMP","2'-Deoxyguanosine 5'-monophosphate","HMDB0001044","65059","C00362","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1","1"
"IMP","Inosinic acid","HMDB0000175","8582","C00130","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"N-Acetyl-D-Hexosamine-bisphosphate","NA","NA","NA","NA","NA","0"
"Glycero-manno-heptose bisphosphate","NA","NA","NA","NA","NA","0"
"UDP","Uridine 5'-diphosphate","HMDB0000295","6031","C00015","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"UDP isotope","NA","NA","NA","NA","NA","0"
"PAP","Adenosine 3',5'-diphosphate","HMDB0000061","159296","C00054","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1","1"
"dGDP","dGDP","HMDB0000960","439220","C00361","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1","1"
"Inositol triphosphate","myo-Inositol 1,4,5-trisphosphate","HMDB0001498","439456","C01245","O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O","1"
"GDP","Guanosine diphosphate","HMDB0001201","8977","C00035","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"CMP-2-aminoethylphosphonate","CMP-2-aminoethylphosphonate","HMDB0060067","440754","C05673","NCCP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O","1"
"Riboflavin cyclic-4,5-phosphate","NA","NA","NA","NA","NA","0"
"3-Phosphoglycerol-glutathione","NA","NA","NA","NA","NA","0"
"XDP","NA","NA","NA","NA","NA","0"
"CTP","Cytidine triphosphate","HMDB0000082","6176","C00063","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"dTTP","Thymidine 5'-triphosphate","HMDB0001342","64968","C00459","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"UTP","Uridine triphosphate","HMDB0000285","6133","C00075","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"dCTP","dCTP","HMDB0000998","65091","C00458","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"TTP","Thymidine 5'-triphosphate","HMDB0001342","64968","C00459","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"Myo-inositol tetraphosphate","NA","NA","NA","NA","NA","0"
"UTP isotope","NA","NA","NA","NA","NA","0"
"dATP","Deoxyadenosine triphosphate","HMDB0001532","15993","C00131","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"PAPS","Phosphoadenosine phosphosulfate","HMDB0001134","10214","C00053","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1","1"
"dGTP","dGTP","HMDB0001440","65103","C00286","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1","1"
