"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"bis-D-fructose 2',1:2,1'-dianhydride","NA","NA","NA","NA","NA","0"
"docebenone","NA","NA","NA","NA","NA","0"
"N-butyl-N(2)-[(2Z)-2-(2-furyl)-2-(methoxyimino)acetyl]-L-cysteinamide","NA","NA","NA","NA","NA","0"
"Fertaric acid","Fertaric acid","HMDB0029199","22298372",NA,"COC1=CC(\C=C\C(=O)OC(C(O)C(O)=O)C(O)=O)=CC=C1O","1"
"Blepharin","Blepharin","HMDB0029344","14605136",NA,"OCC1OC(OC2OC3=CC=CC=C3NC2=O)C(O)C(O)C1O","1"
"3'-(gamma,gamma-Dimethylallyl)genistein","3'-(gamma,gamma-Dimethylallyl)genistein","HMDB0037920","5494866",NA,"CC(C)=CCC1=C(O)C=CC(=C1)C1=COC2=CC(O)=CC(O)=C2C1=O","1"
"Canrenone","Canrenone","HMDB0003033","13789",NA,"[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C","1"
"Cichoriin","Cichoriin","HMDB0030821","5088914","C09206","OCC1OC(OC2=C(O)C=C3C=CC(=O)OC3=C2)C(O)C(O)C1O","1"
"Kojibiose","Kojibiose","HMDB0011742","164939","C19632","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=O","1"
"6-(alpha-D-Glucosaminyl)-1D-myo-inositol","6-(alpha-D-Glucosaminyl)-1D-myo-inositol","HMDB0011668",NA,"C15658","N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"Isofenphos","Isofenphos","HMDB0031796","32872","C11002","CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C","1"
"phenyl [1-(N-succinylamino)pentyl]phosphonate","NA","NA","NA","NA","NA","0"
"5'-Hydroxypiroxicam","5'-Hydroxypiroxicam","HMDB0014096","54676301",NA,"CN1C(C(=O)NC2=NC=C(O)C=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O","1"
"Adenosine monophosphate","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"N-[1-(4-methyl-6-oxo-1-pyrimidinyl)-2-oxo-2-phenylethyl]benzamide","NA","NA","NA","NA","NA","0"
"O-(alpha-D-mannose-1-phosphoryl)-L-serine","NA","NA","NA","NA","NA","0"
"5'-Hydroxytenoxicam","5'-Hydroxytenoxicam","HMDB0014098",NA,NA,"CN1\C(=C(/O)NC2=CC=C(O)C=N2)C(=O)C2=C(C=CS2)S1(=O)=O","1"
"Biflorin","Biflorin","HMDB0002336","441959","C08996","CC1=CC(=O)C2=C(O)C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C(O)C=C2O1","1"
"alpha,beta-Dihydroxanthohumol","alpha,beta-Dihydroxanthohumol","HMDB0035440","10450920",NA,"COC1=C(C(=O)CCC2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1","1"
"De-O-methylsimmondsin","De-O-methylsimmondsin","HMDB0041208","5375609",NA,"COC1C(O)CC(OC2OC(CO)C(O)C(O)C2O)\C(=C\C#N)C1O","1"
"Rabeprazole","Rabeprazole","HMDB0005026","5029","C07864","COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1","1"
"N-[2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)ethyl]-3-(4-hydroxy-3-methoxyphenyl)prop-2-enimidic acid","NA","NA","NA","NA","NA","0"
"Justicidin B","NA","NA","NA","NA","NA","0"
"Tetracosanoic acid","Tetracosanoic acid","HMDB0002003","11197","C08320","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"3-Deoxyvitamin D3","NA","NA","NA","NA","NA","0"
"Nedocromil","Nedocromil","HMDB0014854","50294","C07255","CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O","1"
"17-dimethylaminolobohedleolide","NA","NA","NA","NA","NA","0"
"Carbenicillin","Carbenicillin","HMDB0014717","20824","C06869","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)C1=CC=CC=C1)C(O)=O","1"
"[4-(5,7-dihydroxy-6,8-dimethyl-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid","NA","NA","NA","NA","NA","0"
"4-Methoxybenzyl O-(2-sulfoglucoside)","4-Methoxybenzyl O-(2-sulfoglucoside)","HMDB0034754","74083239",NA,"COC1=CC=C(COC2OC(CO)C(O)C(O)C2OS(O)(=O)=O)C=C1","1"
"ascr#26","NA","NA","NA","NA","NA","0"
"7,8-Dehydro-beta-micropteroxanthin","7,8-Dehydro-beta-micropteroxanthin","HMDB0038506","131752385",NA,"C\C(CCCO)=C/C=C/C=C(\C)/C=C/C=C(\C)C#CC1=C(C)CC(O)CC1(C)C","1"
"Armillaribin","Armillaribin","HMDB0031672","131751179",NA,"COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4CC(C=O)=C23)C(C)=C1","1"
"N-(1-adamantyl)-4-(1,3-benzodioxol-5-yl)-4-hydroxy-1-piperidinecarboxamide","NA","NA","NA","NA","NA","0"
"5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3,4,5-trihydroxyoxan-2-yl)-4H-chromen-4-one","NA","NA","NA","NA","NA","0"
"Nobiletin","Nobiletin","HMDB0029540","72344","C10112","COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC","1"
"(3S,5R,10R,12S,14S,15R,16R)-3,5,10,14,15-pentahydroxy-12,16-dimethylicosan-2-one","NA","NA","NA","NA","NA","0"
"S-(2-carboxy-2-methylbut-3-en-2-yl)glutathione(2-)","NA","NA","NA","NA","NA","0"
"Lasiocarpine","NA","NA","NA","NA","NA","0"
"N-[(2S,3R)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-(methylaminomethyl)-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-2-pyrazinecarboxamide","NA","NA","NA","NA","NA","0"
"Naltrindole","Naltrindole",NA,"96024345","C18128",NA,"1"
"Eplerenone","Eplerenone","HMDB0014838","443872","C12512","[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC","1"
"Liatrin","(S)-Pterosin D","HMDB0035223","5320783",NA,"CC1=C(CCO)C(C)=C2C(=C1)C(O)C(C)(C)C2=O","1"
"8'-apo-beta-carotenol","8'-apo-beta-carotenol",NA,"5280991","C06733","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CO)C(C)(C)CCC1","1"
"Aplysinoplide C;(+)-Aplysinoplide C","NA","NA","NA","NA","NA","0"
"Octacosanoic acid","Octacosanoic acid","HMDB0002348","10470",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"(S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone","(S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone","HMDB0038868","480770",NA,"CC(C)=CCC1=CC(=CC(O)=C1O)C1CC(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1","1"
"Adenosine phosphosulfate","Adenosine phosphosulfate","HMDB0001003","10238","C00224","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O","1"
"3-Deoxy-3-azido-25-hydroxyvitamin D3","NA","NA","NA","NA","NA","0"
"Solacapine","NA","NA","NA","NA","NA","0"
"Pseurotin A;(-)-Pseurotin A","NA","NA","NA","NA","NA","0"
"2-methoxy-N-[(5R,6S,9R)-5-methoxy-3,6,9-trimethyl-2-oxo-8-propyl-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]acetamide","NA","NA","NA","NA","NA","0"
"(2S,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-8-(3-methylbut-1-ynyl)-2-[[methyl(5-pyrimidinylmethyl)amino]methyl]-3,4-dihydro-2H-pyrido[2,3-b][1,5]oxazocin-6-one","NA","NA","NA","NA","NA","0"
"LysoPE(0:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"Delcosine","NA","NA","NA","NA","NA","0"
"Flavin Mononucleotide","Flavin mononucleotide","HMDB0001520","643976","C00061","CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2","1"
"5-Methyldihydrofolic acid","5-Methyldihydrofolic acid","HMDB0006486","6453871",NA,"CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=C1C(=O)N=C(N)N2","1"
"2-dehydroecdysone","NA","NA","NA","NA","NA","0"
"3-hydroxy-2-methyl-3-phytyl-2,3-dihydro-1,4-naphthoquinone","3-hydroxy-2-methyl-3-phytyl-2,3-dihydro-1,4-naphthoquinone",NA,"5280540","C02785","C/C(=C\CC1(O)C(=O)c2ccccc2C(=O)C1C)CCC(C)CCC(C)CCCC(C)C","1"
"methylprednisolone succinate","NA","NA","NA","NA","NA","0"
"3alpha,7alpha,12alpha-trihydroxy-5alpha-cholan-24-yl sulfate","3alpha,7alpha,12alpha-trihydroxy-5alpha-cholan-24-yl sulfate",NA,"5200193","C16259","C(CCCOS(=O)(=O)O)1CC23(C(O)21C)1(C)CC(O)C1C3O","1"
"candelalide B","NA","NA","NA","NA","NA","0"
"3-(3,5-dimethyl-4-isoxazolyl)-1-[[(8S,9S)-6-[(2R)-1-hydroxypropan-2-yl]-8-methyl-5-oxo-10-oxa-1,6,14,15-tetrazabicyclo[10.3.0]pentadeca-12,14-dien-9-yl]methyl]-1-methylurea","NA","NA","NA","NA","NA","0"
"LysoPE(0:0/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"LSM-30675","NA","NA","NA","NA","NA","0"
"N-[(2R,3R,6R)-2-(hydroxymethyl)-6-[2-oxo-2-(4-phenylanilino)ethyl]-3-oxanyl]-3-(1-piperidinyl)propanamide","NA","NA","NA","NA","NA","0"
"LysoPE(0:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"Delcorine","NA","NA","NA","NA","NA","0"
"11-beta-Hydroxyandrosterone-3-glucuronide","11-beta-Hydroxyandrosterone-3-glucuronide","HMDB0010351","1864","C05643","[H][C@@]12CCC(=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"1-[[(2S,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-8-(3-pyridinyl)-3,4-dihydro-2H-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-1-methyl-3-phenylurea","NA","NA","NA","NA","NA","0"
"dasabuvir(1-)","NA","NA","NA","NA","NA","0"
"(1R)-N-(3,5-dimethyl-4-isoxazolyl)-1-(hydroxymethyl)-7-methoxy-2-(1-oxopropyl)-1'-spiro[3,9-dihydro-1H-pyrido[3,4-b]indole-4,4'-piperidine]carboxamide","NA","NA","NA","NA","NA","0"
"PS(16:1(9Z)/0:0)","NA","NA","NA","NA","NA","0"
"Zygadenine","NA","NA","NA","NA","NA","0"
"LysoPC(16:1(9Z))","NA","NA","NA","NA","NA","0"
"2-[2-[4-[2-hydroxy-3-(2-prop-2-enylphenoxy)propyl]-1-piperazinyl]ethyl]benzo[de]isoquinoline-1,3-dione","NA","NA","NA","NA","NA","0"
"N-[(5S,6S,9S)-5-methoxy-3,6,9-trimethyl-2-oxo-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]-4-phenylbenzamide","NA","NA","NA","NA","NA","0"
"beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside","beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside","HMDB0029930","21932711",NA,"OCC1OC(CO)(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O","1"
"1-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol)(1-)","NA","NA","NA","NA","NA","0"
"Lonijaposide E","NA","NA","NA","NA","NA","0"
"FR901465","NA","NA","NA","NA","NA","0"
"1-Oleoylglycerophosphoserine","1-Oleoylglycerophosphoserine","HMDB0061694","85036846",NA,"CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O","1"
"Demycinosylmycinamicin IV; Mycinamicin VII; Mycinomycin VII","NA","NA","NA","NA","NA","0"
"LysoPC(18:1(11Z))","NA","NA","NA","NA","NA","0"
"2-[[(3,5-dimethylphenyl)-oxomethyl]amino]acetic acid [2-[4-(2-naphthalenylsulfonyl)-1-piperazinyl]-2-oxoethyl] ester","NA","NA","NA","NA","NA","0"
"6-(2-{8,8-dimethyl-2-oxo-2H,8H-pyrano[2,3-f]chromen-3-yl}-5-methoxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"Lippioside I","Lippioside I","HMDB0034265","131751541",NA,"CC1(O)C(O)CC2C1C(OC1OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C1O)OC=C2C(O)=O","1"
