"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-acetyl-3-methylhistidine","NA","NA","NA","NA","NA","0"
"N-acetyl-cadaverine","NA","NA","NA","NA","NA","0"
"N-acetylalanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@H](NC(C)=O)C(O)=O","1"
"N-acetylarginine","NA","NA","NA","NA","NA","0"
"N-acetylasparagine","N-Acetylasparagine","HMDB0006028","99715",NA,"CC(=O)N[C@@H](CC(N)=O)C(O)=O","1"
"N-acetylglutamate","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"N-acetylglutamine","N-Acetylglutamine","HMDB0006029","182230",NA,"CC(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"N-acetylglycine","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(O)=O","1"
"N-acetylhistamine","N-Acetylhistamine","HMDB0013253","69602","C05135","CC(=O)NCCC1=CN=CN1","1"
"N-acetylhistidine","N-Acetylhistidine","HMDB0032055","75619","C02997","CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"N-acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"N-acetylmethionine sulfoxide","N-Acetylmethionine sulfoxide","HMDB0240343","7408371",NA,"CC(=O)N[C@@H](CCS(C)=O)C(O)=O","1"
"N-acetylphenylalanine","N-Acetyl-L-phenylalanine","HMDB0000512","74839","C03519","CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"N-acetylproline","N-Acetylproline","HMDB0094701","66141",NA,"[H][C@]1(CCCN1C(C)=O)C(O)=O","1"
"N-acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"N-acetylserine","N-Acetylserine","HMDB0002931","65249",NA,"CC(=O)N[C@@H](CO)C(O)=O","1"
"N-acetyltaurine","N-Acetyltaurine","HMDB0240253","159864",NA,"CC(=O)NCCS(O)(=O)=O","1"
"N-acetylthreonine","N-Acetylthreonine","HMDB0062557","152204",NA,"C[C@@H](O)[C@H](NC(C)=O)C(O)=O","1"
"N-acetyltryptophan","N-Acetyltryptophan","HMDB0013713","700653",NA,"CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"N-delta-acetylornithine","N5-Acetylornithine","HMDB0240589","193343",NA,"CC(=O)NCCC[C@H](N)C(O)=O","1"
"N-formylphenylalanine","N-Formylphenylalanine","HMDB0240317","759256",NA,"OC(=O)[C@H](CC1=CC=CC=C1)NC=O","1"
"N-methylalanine","N-Methylalanine","HMDB0094692","5288725","C02721","[H][C@@](C)(NC)C(O)=O","1"
"N-methylglutamate","N-methyl-L-glutamic Acid","HMDB0062660","439377","C01046","CN[C@@H](CCC(O)=O)C(O)=O","1"
"N-methylleucine","NA","NA","NA","NA","NA","0"
"N-methylproline","N-Methyl-L-proline","HMDB0094696","643474",NA,"CN1CCC[C@H]1C(O)=O","1"
"N-methyltaurine","NA","NA","NA","NA","NA","0"
"N-methyltryptophan","NA","NA","NA","NA","NA","0"
"N-monomethylarginine","NA","NA","NA","NA","NA","0"
"N6,N6,N6-trimethyllysine","NA","NA","NA","NA","NA","0"
"N6-acetyllysine","Indoleacetic acid","HMDB0000197","802","C00954","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"O-sulfo-L-tyrosine","O-Sulfotyrosine","HMDB0155722","514186",NA,"N[C@@H](CC1=CC=C(OS(O)(=O)=O)C=C1)C(O)=O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"phenethylamine","Phenylethylamine","HMDB0012275","1001","C05332","NCCC1=CC=CC=C1","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"phenyllactate (PLA)","NA","NA","NA","NA","NA","0"
"pipecolate","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"propionylcarnitine (C3)","NA","NA","NA","NA","NA","0"
"pyroglutamine","Pyroglutamine","HMDB0062558","11984188",NA,"N[C@H]1CCC(=O)NC1=O","1"
"S-adenosylhomocysteine (SAH)","NA","NA","NA","NA","NA","0"
"S-carboxymethyl-L-cysteine","S-Carboxymethyl-L-cysteine","HMDB0029415","1080",NA,"NC(CSCC(O)=O)C(O)=O","1"
"S-methylcysteine","Methylcysteine","HMDB0002108","24417","C22040","CSC[C@@H](N)C(O)=O","1"
"S-methylglutathione","NA","NA","NA","NA","NA","0"
"serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"spermidine","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"stachydrine","Proline betaine","HMDB0004827","115244","C10172","C[N+]1(C)CCC[C@H]1C([O-])=O","1"
"sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"taurocyamine","Taurocyamine","HMDB0003584","68340","C01959","NC(N)=NCCS(O)(=O)=O","1"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"trans-urocanate","Trans-urocanate","HMDB0062562","1178",NA,"OC(=O)C=CC1=CN=CN1","1"
"tryptamine","Tryptamine","HMDB0000303","1150","C00398","NCCC1=CNC2=C1C=CC=C2","1"
"tyramine","Tyramine","HMDB0000306","5610","C00483","NCCC1=CC=C(O)C=C1","1"
"tyramine O-sulfate","Tyramine-O-sulfate","HMDB0006409","153005",NA,"NCCC1=CC=C(OS(O)(=O)=O)C=C1","1"
"tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"2-methylcitrate","2-Methylcitric acid","HMDB0000379","515","C02225","CC(C(O)=O)C(O)(CC(O)=O)C(O)=O","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","C00597","OC(COP(O)(O)=O)C(O)=O","1"
"arabitol/xylitol","NA","NA","NA","NA","NA","0"
"arabonate/xylonate","NA","NA","NA","NA","NA","0"
"galactonate","Galactonic acid","HMDB0000565","128869","C00880","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"gluconate","Gluconic acid","HMDB0000625","10690","C00257","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"malate","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"maltose","D-Maltose","HMDB0000163","10991489","C00208","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"succinate","Succinic acid","HMDB0000254","1738118","C00042","OC(=O)CCC(O)=O","1"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"trehalose","Trehalose","HMDB0000975","7427","C01083","OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"6-phosphogluconate","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","C00026","OC(=O)CCC(=O)C(O)=O","1"
"cis-aconitate","cis-Aconitic acid","HMDB0000072","643757","C00417","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"citramalate","Citramalic acid","HMDB0000426","1081","C00815","CC(O)(CC(O)=O)C(O)=O","1"
"citrate","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"erythritol","Erythritol","HMDB0002994","222285","C00503","OC[C@H](O)[C@H](O)CO","1"
"erythronate","Erythronic acid","HMDB0000613","2781043",NA,"OC[C@@H](O)[C@@H](O)C(O)=O","1"
"fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"fumarate","Glycerol","HMDB0000131","753","C00116","OCC(O)CO","1"
"galactono-1,4-lactone","NA","NA","NA","NA","NA","0"
"glucose","D-Glucose","HMDB0000122","64689","C00031","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glycerate","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"isocitrate","Isocitric acid","HMDB0000193","1198","C00311","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"isomaltose","Isomaltose","HMDB0002923","10357","C00252","OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"itaconate (methylenesuccinate)","NA","NA","NA","NA","NA","0"
"lactate","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"maleate","Maleic acid","HMDB0000176","444266","C01384","OC(=O)\C=C/C(O)=O","1"
"mannitol/sorbitol","NA","NA","NA","NA","NA","0"
"mannose","D-Mannose","HMDB0000169","185698","C00159","OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"myo-inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"oxalate (ethanedioate)","NA","NA","NA","NA","NA","0"
"phosphoenolpyruvate (PEP)","NA","NA","NA","NA","NA","0"
"pyruvate","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(O)=O","1"
"ribonate (ribonolactone)","NA","NA","NA","NA","NA","0"
"ribose","D-Ribose","HMDB0000283","5779","C00121","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"scyllo-inositol","scyllo-Inositol","HMDB0006088","892","C06153","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"tartronate (hydroxymalonate)","NA","NA","NA","NA","NA","0"
"trans-aconitate","trans-Aconitic acid","HMDB0000958","444212","C02341","OC(=O)C\C(=C/C(O)=O)C(O)=O","1"
"UDP-glucose","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"acetylphosphate","Acetylphosphate","HMDB0001494","186","C00227","CC(=O)OP(O)(O)=O","1"
"carnitine","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"dehydroascorbate","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"FAD","FAD","HMDB0001248","643975","C00016","CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2","1"
"FMN","Flavin mononucleotide","HMDB0001520","643976","C00061","CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2","1"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"NAD","NAD","HMDB0000902","5892","C00003","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"nicotinamide ribonucleotide (NMN)","NA","NA","NA","NA","NA","0"
"nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"nicotinate","Nicotinic acid","HMDB0001488","938","C00253","OC(=O)C1=CN=CC=C1","1"
"nicotinate ribonucleoside","Nicotinic acid ribonucleoside","HMDB0006809","161234","C05841","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=CC(=C1)C(O)=O","1"
"pantothenate (Vitamin B5)","NA","NA","NA","NA","NA","0"
"pyridoxal","Pyridoxal","HMDB0001545","1050","C00250","CC1=NC=C(CO)C(C=O)=C1O","1"
"pyridoxamine","Pyridoxamine","HMDB0001431","1052","C00534","CC1=C(O)C(CN)=C(CO)C=N1","1"
"pyridoxine (Vitamin B6)","NA","NA","NA","NA","NA","0"
"thiamin (Vitamin B1)","NA","NA","NA","NA","NA","0"
"alpha-tocopherol","alpha-Tocopherol","HMDB0001893","14985","C02477","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"biopterin","Biopterin","HMDB0000468","445040","C06313","C[C@H](O)[C@H](O)C1=CNC2=NC(N)=NC(=O)C2=N1","1"
"delta-tocopherol","delta-Tocopherol","HMDB0002902","92094","C14151","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=CC(C)=C2O1","1"
"deoxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","725","C01181","C[N+](C)(C)CCCC([O-])=O","1"
"dihydrobiopterin","Dihydrobiopterin","HMDB0000038","119055","C00268","C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O","1"
"gamma-tocopherol/beta-tocopherol","NA","NA","NA","NA","NA","0"
"gulonic acid","Gulonic acid","HMDB0003290","152304","C00800","OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"methylphosphate","Methylphosphate","HMDB0061711","13130",NA,"COP(O)(O)=O","1"
"pheophorbide A","Pheophorbide a","METPA1634",NA,"C18021",NA,"1"
"phosphate","Phosphate","HMDB0001429","1004","C00009","OP(O)(O)=O","1"
"threonate","Threonic acid","HMDB0000943","5460407","C01620","OC[C@H](O)[C@@H](O)C(O)=O","1"
"trigonelline (N'-methylnicotinate)","NA","NA","NA","NA","NA","0"
"1-aminocyclopropanecarboxylic acid","1-Aminocyclopropanecarboxylic acid","HMDB0036458","535","C01234","NC1(CC1)C(O)=O","1"
"1-palmitoyl-GPA (16:0)","NA","NA","NA","NA","NA","0"
"1,2-dioleoyl-GPC (18:1/18:1)","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPA (20:4)","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPC* (20:4)","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPE* (20:4)","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPI* (20:4)","NA","NA","NA","NA","NA","0"
"3-hydroxybutyrate (BHBA)","NA","NA","NA","NA","NA","0"
"1-arachidonylglycerol (20:4)","NA","NA","NA","NA","NA","0"
"1-dihomo-linolenylglycerol (20:3)","NA","NA","NA","NA","NA","0"
"1-eicosapentaenoylglycerol (20:5)","NA","NA","NA","NA","NA","0"
"1-linolenoylglycerol (18:3)","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPI* (18:2)","NA","NA","NA","NA","NA","0"
"1-linoleoylglycerol (18:2)","NA","NA","NA","NA","NA","0"
"1-myristoylglycerol (14:0)","NA","NA","NA","NA","NA","0"
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","NA","NA","NA","NA","NA","0"
"1-oleoyl-GPG (18:1)","NA","NA","NA","NA","NA","0"
"1-oleoyl-GPI (18:1)","NA","NA","NA","NA","NA","0"
"1-oleoylglycerol (18:1)","NA","NA","NA","NA","NA","0"
"1-palmitoleoyl-GPA (16:1)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008937","9546800","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPC (16:0)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPG (16:0)","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPI* (16:0)","NA","NA","NA","NA","NA","0"
"1-palmitoylglycerol (16:0)","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","NA","NA","NA","NA","NA","0"
"10-heptadecenoate (17:1n7)","10Z-Heptadecenoic acid","HMDB0060038","5312435",NA,"CCCCCC\C=C/CCCCCCCCC(O)=O","1"
"10-nonadecenoate (19:1n9)","10Z-Nonadecenoic acid","HMDB0013622","5312513","C00174","CCCCCCCC\C=C/CCCCCCCCC(O)=O","1"
"12-HEPE","12-HEPE","HMDB0010202","10041593",NA,"CC\C=C/C\C=C/CC(O)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"12-HETE","12-HETE","HMDB0006111","5283155","C14777","CCCCC\C=C/C[C@H](O)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"13-HODE + 9-HODE","NA","NA","NA","NA","NA","0"
"13-HOTrE","NA","NA","NA","NA","NA","0"
"15-HEPE","15-HEPE","HMDB0010209","53480357",NA,"CC\C=C/C(O)C\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"15-HETE","15-HETE","HMDB0003876","5280724","C04742","CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"2-dimethylaminoethanol","Dimethylethanolamine","HMDB0032231","7902","C04308","CN(C)CCO","1"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB0059655","43","C02630","OC(CCC(O)=O)C(O)=O","1"
"2-hydroxylaurate","NA","NA","NA","NA","NA","0"
"2-hydroxymyristate","2-Hydroxymyristic acid","HMDB0002261","1563",NA,"CCCCCCCCCCCCC(O)C(O)=O","1"
"2-hydroxypalmitate","2-Hydroxyhexadecanoic acid","HMDB0031057","12575964",NA,"CCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
