Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
N-acetyl-L-leucine,N-Acetyl-Leu,HMDB0011756,70912,C02710,CC(C)C[C@H](NC(C)=O)C(O)=O,1,MNXM4711
N-acetyl-L-phenylalanine,N-Acetyl-L-phenylalanine,HMDB0000512,74839,C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM4052
N-acetylmethionine,N-Acetyl-L-methionine,HMDB0011745,448580,C02712,CSCC[C@H](NC(C)=O)C(O)=O,1,MNXM1092515
N-formyl-L-methionine,N-Formyl-L-methionine,HMDB0001015,439750,C03145,CSCC[C@H](NC=O)C(O)=O,1,MNXM734252
AMP,Adenosine monophosphate,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1,MNXM728294
GMP,Guanosine monophosphate,HMDB0001397,6804,C00144,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1,MNXM1101285
Glycerophosphocholine,Glycerophosphocholine,HMDB0000086,657272,C00670,C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,1,MNXM526001
Oxidized glutathion,,,,,,0,MNXM1371191
CDP-choline,Citicoline,HMDB0001413,13805,C00307,C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,1,MNXM1103046
CDP-ethanolamine,CDP-ethanolamine,HMDB0001564,123727,C00570,NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,1,MNXM1103456
Choline phosphate,Phosphorylcholine,HMDB0001565,1014,C00588,C[N+](C)(C)CCOP(O)(O)=O,1,MNXM229
Citric acid,Citric acid,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O,1,MNXM1107752
Oxalosuccinic acid,Oxalosuccinic acid,HMDB0003974,972,C05379,OC(=O)C[C@H](C(O)=O)C(=O)C(O)=O,1,MNXM1093495
ADP,ADP,HMDB0001341,6022,C00008,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM40333
Aspartic acid,L-Aspartic acid,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O,1,MNXM1364495
uridine monophosphate,Uridine 5'-monophosphate,HMDB0000288,6030,C00105,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1,MNXM1104823
glutamate,Glutamic acid,HMDB0000148,33032,C00302,N[C@@H](CCC(O)=O)C(O)=O,1,MNXM741172
aspartate,L-Aspartic acid,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O,1,MNXM735837
fructose 6-phosphate,Fructose 6-phosphate,HMDB0000124,69507,C00085,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1,MNXM512144
mannose 6-phosphate,Mannose 6-phosphate,HMDB0001078,439198,C00275,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1,MNXM61126
sphinganine,Sphinganine,HMDB0000269,91486,C00836,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,1,MNXM733692
adenylosuccinate,Adenylsuccinic acid,HMDB0000536,447145,C03794,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O,1,MNXM1103622
asparagine,L-Asparagine,HMDB0000168,6267,C00152,N[C@@H](CC(N)=O)C(O)=O,1,MNXM1107820
glycerol 2-phosphate,beta-Glycerophosphoric acid,HMDB0002520,2526,C02979,OCC(CO)OP(O)(O)=O,1,MNXM2527
orotate,Orotic acid,HMDB0000226,967,C00295,OC(=O)C1=CC(=O)NC(=O)N1,1,MNXM235
7-dehydrocholesterol,7-Dehydrocholesterol,HMDB0000032,439423,C01164,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1,MNXM1094050;MNXM730454
Glycerophosphorylcholine,Glycerophosphocholine,HMDB0000086,657272,C00670,C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,1,MNXM526001
"glutathione, oxidized",Oxidized glutathione,HMDB0003337,65359,C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1,MNXM1371191
"glutamate, gamma-methyl ester",,,,,,0,MNXM729747
UDP-galactose,Uridine diphosphategalactose,HMDB0000302,18068,C00052,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O,1,MNXM1099927
Prolyl-Glutamate,Prolyl-Glutamate,HMDB0029016,3563697,,OC(=O)CCC(NC(=O)C1CCCN1)C(O)=O,1,MNXM129977
tryptamine,Tryptamine,HMDB0000303,1150,C00398,NCCC1=CNC2=C1C=CC=C2,1,MNXM806
palmitoyl sphingomyelin,,,,,,0,MNXM82252
serine,Serine,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O,1,MNXM737786
glycerol 3-phosphate,Glycerol 3-phosphate,HMDB0000126,439162,C00093,OC[C@@H](O)COP(O)(O)=O,1,MNXM66
UDP-glucose,Uridine diphosphate glucose,HMDB0000286,8629,C00029,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1364019
1-stearoylglycerophosphoglycerol,1-Stearoylglycerophosphoglycerol,HMDB0061697,10029397,,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,1,MNXM739302
NAD,NAD,HMDB0000902,5892,C00003,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1,MNXM64096
glycine,Glycine,HMDB0000123,750,C00037,NCC(O)=O,1,MNXM29
3-methyl-2-oxobutyrate,alpha-Ketoisovaleric acid,HMDB0000019,49,C00141,CC(C)C(=O)C(O)=O,1,MNXM732866
pentadecanoate,Pentadecanoic acid,HMDB0000826,13849,C16537,CCCCCCCCCCCCCCC(O)=O,1,MNXM12597
Laurate,Dodecanoic acid,HMDB0000638,3893,C02679,CCCCCCCCCCCC(O)=O,1,MNXM1092907
Ribitol,Ribitol,HMDB0000508,,C00474,OC[C@H](O)[C@H](O)[C@H](O)CO,1,MNXM1820
thymidine,Thymidine,HMDB0000273,5789,C00214,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1,MNXM420
D-arabitol,D-Arabitol,HMDB0000568,94154,C01904,OC[C@@H](O)C(O)[C@H](O)CO,1,MNXM1018
7-methylguanine,7-Methylguanine,HMDB0000897,11361,C02242,CN1C=NC2=C1C(=O)N=C(N)N2,1,MNXM39146
3-CMP,,,,,,0,MNXM2182
linoleate,Linoleic acid,HMDB0000673,5280450,C01595,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,1,MNXM1108069
1-stearoyl-GPI,,,,,,0,MNXM1106088
myristoleate,Myristoleic acid,HMDB0002000,5281119,C08322,CCCC\C=C/CCCCCCCC(O)=O,1,MNXM1364444
j-nonadecenoate,,,,,,0,MNXM1372856;MNXM727343;MNXM727338
4-hydroxybutyrate,4-Hydroxybutyric acid,HMDB0000710,10413,C00989,OCCCC(O)=O,1,MNXM1093090
gamma-glutamylphenylalanine,gamma-Glutamylphenylalanine,HMDB0000594,111299,,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,1,MNXM737595
glucose,D-Glucose,HMDB0000122,64689,C00031,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM7381
N-acetyl-Leucine,,,,,,0,MNXM1369366
N-acetylglucosamine,N-Acetyl-D-glucosamine,HMDB0000215,439174,C00140,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1,MNXM63553
N-acetyl-Isoleucine,,,,,,0,MNXM1368467
methionine sulfoxide,Methionine sulfoxide,HMDB0002005,158980,C02989,CS(=O)CC[C@H](N)C(O)=O,1,MNXM1364200
3-Methyl-2-oxopentanote,,,,,,0,N/A
4-methyl-2-oxopentanoate,Ketoleucine,HMDB0000695,70,C00233,CC(C)CC(=O)C(O)=O,1,MNXM404
1-methyladenosine,1-Methyladenosine,HMDB0003331,27476,C02494,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,1,MNXM4237
norophthalmate,Norophthalmic acid,HMDB0005766,5489007,,C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,1,MNXM1371890
Prolyl-Proline,Prolylproline,HMDB0011180,11622593,,OC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,1,MNXM1371898
1-oleoylglycerol,,,,,,0,MNXM1373111;MNXM1370566;MNXM1370565
"1,2-propanediol",Propylene glycol,HMDB0001881,259994,C00583,C[C@@H](O)CO,1,MNXM1364595
2-O-methylguanosine,,,,,,0,N/A
glycerate,Glyceric acid,HMDB0000139,439194,C00258,OC[C@@H](O)C(O)=O,1,MNXM1136254
indolelactate,Indolelactic acid,HMDB0000671,676157,C02043,O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM1363665
"Hexanoic acid, caproate",,,,,,0,MNXM1653
alanine,Alanine,,,C01401,,1,MNXM733981
2-deoxycytidine,,,,,,0,MNXM32436
lactate,Lactic acid,HMDB0000190,107689,C00186,C[C@H](O)C(O)=O,1,MNXM733758
ophthalmate,Ophthalmic acid,HMDB0005765,7018721,C21016,CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,1,MNXM65600
gamma-glutamylisoleucine,gamma-Glutamylisoleucine,HMDB0011170,22885096,,CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM726301
inosine,Inosine,HMDB0000195,6021,C00294,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1,MNXM1103335
phosphopantetheine,Pantetheine 4'-phosphate,HMDB0001416,115254,C01134,CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)NCCS,1,MNXM75169
gamma-glutamylleucine,gamma-Glutamylleucine,HMDB0011171,151023,,CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM726305
cysteine-glutathione disulfide,,,,,,0,MNXM1509283
N-acetyl-Glycine,Acetylglycine,HMDB0000532,10972,,CC(=O)NCC(O)=O,1,MNXM587422
gamma-glutamylvaline,gamma-Glutamylvaline,HMDB0011172,7015683,,CC(C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM726308
gamma-glutamylthreonine,gamma-Glutamylthreonine,HMDB0029159,53861142,,C[C@@H](O)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM729742
lanosterol,Lanosterol,HMDB0001251,246983,C01724,[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,1,MNXM736942
N-acetylneuraminate,N-Acetylneuraminate,,3568,C00270,,1,MNXM1106046
Alanyl-Glycine,Alanylglycine,HMDB0006899,6998028,,C[C@H](N)C(=O)NCC(O)=O,1,MNXM1368447
Tyrosyl-Glycine,Tyrosylglycine,HMDB0029105,7021853,,N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O,1,MNXM1371130
vaccenate,Vaccenic acid,HMDB0003231,5281127,C08367,CCCCCC\C=C\CCCCCCCCCC(O)=O,1,MNXM739463
docosadienoate,Docosadienoate (22:2n6),HMDB0061714,5312554,C16533,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O,1,MNXM155528
inositol 2-phosphate,,,,,,0,MNXM8031
fructose,D-Fructose,HMDB0000660,439709,C00095,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,1,MNXM729624;MNXM729625;MNXM729626
L-Cysteinyl-Glycine,,,,,,0,MNXM683
N-acetylalanine,N-Acetyl-L-alanine,HMDB0000766,88064,,C[C@H](NC(C)=O)C(O)=O,1,MNXM1129177;MNXM1102171
benzoate,Benzoic acid,HMDB0001870,243,C00180,OC(=O)C1=CC=CC=C1,1,MNXM217
1-oleoyl-GPI,,,,,,0,MNXM680605
phenyllactate,D-Phenyllactic acid,HMDB0000563,444718,C05607,[H][C@](O)(CC1=CC=CC=C1)C(O)=O,1,MNXM726662
L-gamma-Glutamyl-cysteine,,,,,,0,MNXM126172
nonadecanoate,Nonadecanoic acid,HMDB0000772,12591,C16535,CCCCCCCCCCCCCCCCCCC(O)=O,1,MNXM1106852
N-Acetyl-L-phenylalanine,N-Acetyl-L-phenylalanine,HMDB0000512,74839,C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM4052
erythronate,Erythronic acid,HMDB0000613,2781043,,OC[C@@H](O)[C@@H](O)C(O)=O,1,MNXM724639
oleate,Oleic acid,HMDB0000207,445639,C00712,CCCCCCCC\C=C/CCCCCCCC(O)=O,1,MNXM1364393
17-methylstearate,17-Methyloctadecanoic acid,HMDB0037397,3083779,,CC(C)CCCCCCCCCCCCCCCC(O)=O,1,MNXM28857
4-guanidinobutanoate,4-Guanidinobutanoic acid,HMDB0003464,500,C01035,NC(=N)NCCCC(O)=O,1,MNXM1312
13-octadecenoate,,,,,,0,MNXM739866;MNXM1093483;MNXM65309;MNXM727013;MNXM1371388;MNXM739867
homocysteine,Homocysteine,HMDB0000742,91552,C00155,N[C@@H](CCS)C(O)=O,1,MNXM123
N-acetyl-Valine,,,,,,0,MNXM1368738
N-acetyl-L-tyrosine,N-Acetyl-L-tyrosine,HMDB0000866,68310,C01657,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1,MNXM63521
5-hydroxymethylfurfural,5-Hydroxymethyl-2-furancarboxaldehyde,HMDB0034355,237332,C11101,OCC1=CC=C(O1)C=O,1,MNXM10320
1-palmitoyl-GPE,,,,,,0,MNXM32511
5-methylthioadenosine,5'-Methylthioadenosine,HMDB0001173,439176,C00170,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,1,MNXM1101977
sphingosine,Sphingosine,HMDB0000252,5280335,C00319,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,1,MNXM1364421
O-Phosphorylethanolamine,O-Phosphoethanolamine,HMDB0000224,1015,C00346,NCCOP(O)(O)=O,1,MNXM187
Glycerol phosphate,,,,,,0,MNXM55307
NAc-Methionine,,,,,,0,MNXM731431
N-Glycolyl-D-hexosamine,,,,,,0,N/A
N-Acetyl-D-hexosaminate,,,,,,0,N/A
Hexose phosphate,,,,,,0,MNXM56483
Nicotinamide riboside,Nicotinamide riboside,HMDB0000855,439924,C03150,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,MNXM1101283
D-myo-lnositol- 1 -phosphate,,,,,,0,MNXM1364687
cCMP,,,,,,0,MNXM3162
dCMP,dCMP,HMDB0001202,13945,C00239,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1,MNXM266
Glucose bisphosphate,,,,,,0,MNXM48490;MNXM162819;MNXM7242;MNXM164700;MNXM491972;MNXM167291;MNXM1102141;MNXM1560541
Glutathione,Glutathione,HMDB0000125,124886,C00051,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,1,MNXM490899
CMP,Cytidine monophosphate,HMDB0000095,6131,C00055,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM1103302
UMP,Uridine 5'-monophosphate,HMDB0000288,6030,C00105,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1,MNXM1104823
Hexosyl-glycerol phosphate,,,,,,0,N/A
Hydroxymethylglutathione,,,,,,0,MNXM726279
cGMP,Cyclic GMP,HMDB0001314,24316,C00942,NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1,1,MNXM731192
dGMP,2'-Deoxyguanosine 5'-monophosphate,HMDB0001044,65059,C00362,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1,1,MNXM736654
IMP,Inosinic acid,HMDB0000175,8582,C00130,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1,MNXM1101868
N-Acetyl-D-Hexosamine-bisphosphate,,,,,,0,N/A
Glycero-manno-heptose bisphosphate,,,,,,0,MNXM731696; MNXM731697; MNXM731698;MNXM2656
UDP,Uridine 5'-diphosphate,HMDB0000295,6031,C00015,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,1,MNXM1102128;MNXM1102130
UDP isotope,,,,,,0,MNXM1102128;MNXM1102130
PAP,"Adenosine 3',5'-diphosphate",HMDB0000061,159296,C00054,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,1,MNXM67597
dGDP,dGDP,HMDB0000960,439220,C00361,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1,1,MNXM436
Inositol triphosphate,"myo-Inositol 1,4,5-trisphosphate",HMDB0001498,439456,C01245,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O,1,MNXM1103971
GDP,Guanosine diphosphate,HMDB0001201,8977,C00035,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1,MNXM1103285;MNXM1103287
CMP-2-aminoethylphosphonate,CMP-2-aminoethylphosphonate,HMDB0060067,440754,C05673,NCCP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O,1,MNXM1103498
"Riboflavin cyclic-4,5-phosphate",,,,,,0,MNXM1106150
3-Phosphoglycerol-glutathione,,,,,,0,MNXM36786
XDP,,,,,,0,MNXM4133
CTP,Cytidine triphosphate,HMDB0000082,6176,C00063,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM1103718
dTTP,Thymidine 5'-triphosphate,HMDB0001342,64968,C00459,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,1,MNXM394
