ENTRY,NAME,FORMULA
C00117,D-Ribose 5-phosphate,C5H11O8P
C00118,D-Glyceraldehyde 3-phosphate,C3H7O6P
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3
C00120,Biotin,C10H16N2O3S
C00121,D-Ribose,C5H10O5
C00122,Fumarate,C4H4O4
C00123,L-Leucine,C6H13NO2
C00124,D-Galactose,C6H12O6
C00125,Ferricytochrome c,C42H44FeN8O8S2R4
C00126,Ferrocytochrome c,C42H44FeN8O8S2R4
C00127,Glutathione disulfide,C20H32N6O12S2
C00128,CMP-N-acetylneuraminate,C20H31N4O16P
C00129,Isopentenyl diphosphate,C5H12O7P2
C00130,IMP,C10H13N4O8P
C00131,dATP,C10H16N5O12P3
C00132,Methanol,CH4O
C00133,D-Alanine,C3H7NO2
C00134,Putrescine,C4H12N2
C00135,L-Histidine,C6H9N3O2
C00136,Butanoyl-CoA,C25H42N7O17P3S
C00137,myo-Inositol,C6H12O6
C00138,Reduced ferredoxin,
C00139,Oxidized ferredoxin,
C00140,N-Acetyl-D-glucosamine,C8H15NO6
C00141,3-Methyl-2-oxobutanoic acid,C5H8O3
C00143,"5,10-Methylenetetrahydrofolate",C20H23N7O6
C00144,GMP,C10H14N5O8P
C00145,Thiol,HSR
C00146,Phenol,C6H6O
C00147,Adenine,C5H5N5
C00148,L-Proline,C5H9NO2
C00149,(S)-Malate,C4H6O5
C00150,Molybdenum,Mo
C00151,L-Amino acid,C2H4NO2R
C00152,L-Asparagine,C4H8N2O3
C00153,Nicotinamide,C6H6N2O
C00154,Palmitoyl-CoA,C37H66N7O17P3S
C00155,L-Homocysteine,C4H9NO2S
C00156,4-Hydroxybenzoate,C7H6O3
C00157,Phosphatidylcholine,C10H18NO8PR2
C00158,Citrate,C6H8O7
C00159,D-Mannose,C6H12O6
C00160,Glycolate,C2H4O3
C00161,2-Oxo acid,C2HO3R
C00162,Fatty acid,CHO2R
C00163,Propanoate,C3H6O2
C00164,Acetoacetate,C4H6O3
C00165,Diacylglycerol,C5H6O5R2
C00166,Phenylpyruvate,C9H8O3
C00167,UDP-glucuronate,C15H22N2O18P2
C00168,Hydroxypyruvate,C3H4O4
C00169,Carbamoyl phosphate,CH4NO5P
C00170,5'-Methylthioadenosine,C11H15N5O3S
C00171,5'-Phosphomononucleotide,C5H10O7PR
C00172,3'-Phosphooligonucleotide,C10H19O16P3R2(C5H8O6PR)n
C00173,Acyl-[acyl-carrier protein],C3H4OSR2
C00174,Acid,
C00175,Cobalt ion,Co
C00176,Flavin,C12H9N4O2R
C00177,Cyanide ion,CN
C00178,Thymine,C5H6N2O2
C00179,Agmatine,C5H14N4
C00180,Benzoate,C7H6O2
C00181,D-Xylose,C5H10O5
C00182,Glycogen,C24H42O21
C00183,L-Valine,C5H11NO2
C00184,Glycerone,C3H6O3
C00185,Cellobiose,C12H22O11
C00186,(S)-Lactate,C3H6O3
C00187,Cholesterol,C27H46O
C00188,L-Threonine,C4H9NO3
C00189,Ethanolamine,C2H7NO
C00190,UDP-D-xylose,C14H22N2O16P2
C00191,D-Glucuronate,C6H10O7
C00192,Hydroxylamine,NH3O
C00193,Aromatic aldehyde,C7H6O
C00194,Cobamide coenzyme,C72H100CoN18O17P
C00195,N-Acylsphingosine,C19H36NO3R
C00196,"2,3-Dihydroxybenzoate",C7H6O4
C00197,3-Phospho-D-glycerate,C3H7O7P
C00198,"D-Glucono-1,5-lactone",C6H10O6
C00199,D-Ribulose 5-phosphate,C5H11O8P
C00200,Phenazine methosulfate,C13H11N2. CH3SO4
C00201,Nucleoside triphosphate,C5H12O13P3R
C00202,Isoflurophate,C6H14FO3P
C00203,UDP-N-acetyl-D-galactosamine,C17H27N3O17P2
C00204,2-Dehydro-3-deoxy-D-gluconate,C6H10O6
C00205,hn,
C00206,dADP,C10H15N5O9P2
C00207,Acetone,C3H6O
C00208,Maltose,C12H22O11
C00209,Oxalate,C2H2O4
C00210,Cobamide,C53H79CoN11O14P(R1)(R2)
C00211,Collagen,C4H6N2O3R2(C7H9N2O2R)n
C00212,Adenosine,C10H13N5O4
C00213,Sarcosine,C3H7NO2
C00214,Thymidine,C10H14N2O5
C00215,Nucleotide,
C00216,D-Arabinose,C5H10O5
C00217,D-Glutamate,C5H9NO4
C00218,Methylamine,CH5N
C00219,Arachidonate,C20H32O2
C00220,Methylene blue,C16H18N3S. Cl
C00221,beta-D-Glucose,C6H12O6
C00222,3-Oxopropanoate,C3H4O3
C00223,p-Coumaroyl-CoA,C30H42N7O18P3S
C00224,Adenylyl sulfate,C10H14N5O10PS
C00225,Methyl viologen,C12H14N2. 2Cl
C00226,Primary alcohol,CH3OR
C00227,Acetyl phosphate,C2H5O5P
C00229,Acyl-carrier protein,HSR
C00230,"3,4-Dihydroxybenzoate",C7H6O4
C00231,D-Xylulose 5-phosphate,C5H11O8P
C00232,Succinate semialdehyde,C4H6O3
C00233,4-Methyl-2-oxopentanoate,C6H10O3
C00234,10-Formyltetrahydrofolate,C20H23N7O7
C00235,Dimethylallyl diphosphate,C5H12O7P2
C00236,3-Phospho-D-glyceroyl phosphate,C3H8O10P2
C00237,CO,CO
C00238,Potassium cation,K
C00239,dCMP,C9H14N3O7P
C00240,rRNA,C15H25O16P2R3
C00241,Amide,CH2NOR
C00242,Guanine,C5H5N5O
C00243,Lactose,C12H22O11
C00244,Nitrate,HNO3
C00245,Taurine,C2H7NO3S
C00246,Butanoic acid,C4H8O2
C00247,L-Sorbose,C6H12O6
C00248,Lipoamide,C8H15NOS2
C00249,Hexadecanoic acid,C16H32O2
C00250,Pyridoxal,C8H9NO3
C00251,Chorismate,C10H10O6
C00252,Isomaltose,C12H22O11
C00253,Nicotinate,C6H5NO2
C00254,Prephenate,C10H10O6
C00255,Riboflavin,C17H20N4O6
C00256,(R)-Lactate,C3H6O3
C00257,D-Gluconic acid,C6H12O7
C00258,D-Glycerate,C3H6O4
C00259,L-Arabinose,C5H10O5
C00261,Benzaldehyde,C7H6O
C00262,Hypoxanthine,C5H4N4O
C00263,L-Homoserine,C4H9NO3
C00264,3-Oxoacyl-CoA,C24H37N7O18P3SR
C00265,Dithiothreitol,C4H10O2S2
C00266,Glycolaldehyde,C2H4O2
C00267,alpha-D-Glucose,C6H12O6
C00268,Dihydrobiopterin,C9H13N5O3
C00269,CDP-diacylglycerol,C14H19N3O15P2R2
C00270,N-Acetylneuraminate,C11H19NO9
C00272,Tetrahydrobiopterin,C9H15N5O3
C00273,5-Dehydro-D-fructose,C6H10O6
C00275,D-Mannose 6-phosphate,C6H13O9P
C00279,D-Erythrose 4-phosphate,C4H9O7P
C00280,Androstenedione,C19H26O2
C00282,Hydrogen,H2
C00283,Hydrogen sulfide,H2S
C00284,EDTA,C10H16N2O8
C00286,dGTP,C10H16N5O13P3
C00288,HCO3-,HCO3
C00290,Fibrin,
C00291,Nickel,Ni
C00292,Aniline,C6H7N
C00294,Inosine,C10H12N4O5
C00295,Orotate,C5H4N2O4
C00296,Quinate,C7H12O6
C00297,Sulfide,SR2
C00298,Trypsin,
C00299,Uridine,C9H12N2O6
C00300,Creatine,C4H9N3O2
C00301,ADP-ribose,C15H23N5O14P2
C00302,Glutamate,C5H9NO4
C00303,Glutamine,C5H10N2O3
C00304,Kanamycin,C18H33N3O10(R1)(R2)
C00305,Magnesium cation,Mg
C00306,Bradykinin,C50H73N15O11
C00307,CDP-choline,C14H26N4O11P2
C00308,Canavanine,C5H12N4O3
C00309,D-Ribulose,C5H10O5
C00310,D-Xylulose,C5H10O5
C00311,Isocitrate,C6H8O7
C00312,L-Xylulose,C5H10O5
C00313,Oxalyl-CoA,C23H36N7O19P3S
C00314,Pyridoxine,C8H11NO3
C00315,Spermidine,C7H19N3
C00317,Amylopectin,
C00318,L-Carnitine,C7H15NO3
C00319,Sphingosine,C18H37NO2
C00320,Thiosulfate,HS2O3
C00322,2-Oxoadipate,C6H8O5
C00323,Caffeoyl-CoA,C30H42N7O19P3S
C00324,Ferricyanide,C6FeN6
C00325,GDP-L-fucose,C16H25N5O15P2
C00326,Glycoprotein,
C00327,L-Citrulline,C6H13N3O3
C00328,L-Kynurenine,C10H12N2O3
C00329,D-Glucosamine,C6H13NO5
C00330,Deoxyguanosine,C10H13N5O4
C00331,Indolepyruvate,C11H9NO3
C00332,Acetoacetyl-CoA,C25H40N7O18P3S
C00333,D-Galacturonate,C6H10O7
C00334,4-Aminobutanoate,C4H9NO2
C00337,(S)-Dihydroorotate,C5H6N2O4
C00338,Lipopolysaccharide,
C00339,Long-chain alcohol,CH3OR
C00340,Reduced rubredoxin,
C00341,Geranyl diphosphate,C10H20O7P2
C00342,Thioredoxin,C10H14N4O4S2R4
C00343,Thioredoxin disulfide,C10H12N4O4S2R4
C00344,Phosphatidylglycerol,C8H13O10PR2
C00345,6-Phospho-D-gluconate,C6H13O10P
C00346,Ethanolamine phosphate,C2H8NO4P
C00347,Long-chain carboxylate,C3H5O2R
C00348,all-trans-Undecaprenyl phosphate,C55H91O4P
C00349,2-Methyl-3-oxopropanoate,C4H6O3
C00350,Phosphatidylethanolamine,C7H12NO8PR2
C00351,5'-Phosphooligonucleotide,C10H19O14P3R2(C5H8O5PR)n
C00352,D-Glucosamine 6-phosphate,C6H14NO8P
C00353,Geranylgeranyl diphosphate,C20H36O7P2
C00354,"D-Fructose 1,6-bisphosphate",C6H14O12P2
C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4
C00356,(S)-3-Hydroxy-3-methylglutaryl-CoA,C27H44N7O20P3S
C00357,N-Acetyl-D-glucosamine 6-phosphate,C8H16NO9P
C00360,dAMP,C10H14N5O6P
C00361,dGDP,C10H15N5O10P2
C00362,dGMP,C10H14N5O7P
C00363,dTDP,C10H16N2O11P2
C00364,dTMP,C10H15N2O8P
C00365,dUMP,C9H13N2O8P
C00366,Urate,C5H4N4O3
C00367,Casein,
C00369,Starch,(C12H20O10)n
C00370,Sterol,C17H28O
C00371,Zeatin,C10H13N5O
C00372,Dextran,(C12H20O10)n
C00373,Elastin,
C00374,Heparin,(C26H40N2O36S5)n
C00375,RCH2NH2,CH4NR
C00376,Retinal,C20H28O
C00377,Steroid,
C00378,Thiamine,C12H17N4OS
C00379,Xylitol,C5H12O5
C00380,Cytosine,C4H5N3O
C00381,Dolichol,C20H36O(C5H8)n
C00383,Malonate,C3H4O4
C00384,Neomycin,C12H25N4O5R
C00385,Xanthine,C5H4N4O2
C00386,Carnosine,C9H14N4O3
C00387,Guanosine,C10H13N5O5
C00388,Histamine,C5H9N3
C00389,Quercetin,C15H10O7
C00390,Ubiquinol,C14H20O4(C5H8)n
C00391,Calmodulin,
C00392,Mannitol,C6H14O6
C00393,Fibrinogen,
C00394,GDP-glucose,C16H25N5O16P2
C00395,Penicillin,C9H11N2O4SR
C00396,Pyrimidine,C4H4N2
C00397,Tobramycin,C18H37N5O9
C00398,Tryptamine,C10H12N2
C00399,Ubiquinone,C14H18O4(C5H8)n
C00400,(-)-Menthol,C10H20O
C00401,Chondroitin,(C14H21NO11)n
C00402,D-Aspartate,C4H7NO4
C00403,Polypeptide,C4H6N2O3R2(C2H2NOR)n
C00404,Polyphosphate,H4P2O7(HPO3)n
C00405,D-Amino acid,C2H4NO2R
C00406,Feruloyl-CoA,C31H44N7O19P3S
C00407,L-Isoleucine,C6H13NO2
C00408,L-Pipecolate,C6H11NO2
C00409,Methanethiol,CH4S
C00410,Progesterone,C21H30O2
C00411,Sinapoyl-CoA,C32H46N7O20P3S
C00412,Stearoyl-CoA,C39H70N7O17P3S
C00413,Streptomycin,C21H39N7O12
C00414,Cyclohexanone,C6H10O
C00415,Dihydrofolate,C19H21N7O6
C00416,Phosphatidate,C5H7O8PR2
C00417,cis-Aconitate,C6H6O6
C00418,(R)-Mevalonate,C6H12O4
C00419,Polynucleotide,C10H17O10PR2(C5H8O6PR)n
C00420,Polysaccharide,C12H22O11(C6H10O5)n
C00422,Triacylglycerol,C6H5O6R3
C00423,trans-Cinnamate,C9H8O2
C00424,(S)-Lactaldehyde,C3H6O2
C00426,Dermatan sulfate,(C14H18NO11R3)n
C00427,Prostaglandin H2,C20H32O5
C00429,"5,6-Dihydrouracil",C4H6N2O2
C00430,5-Aminolevulinate,C5H9NO3
C00431,5-Aminopentanoate,C5H11NO2
C00433,"2,5-Dioxopentanoate",C5H6O4
C00434,Double-stranded DNA,C10H17O8PR2(C5H8O5PR)n. C10H17O7PR2(C5H8O6PR)n
C00435,Oxidized rubredoxin,
C00436,N-Carbamoylputrescine,C5H13N3O
C00437,N-Acetylornithine,C7H14N2O3
C00438,N-Carbamoyl-L-aspartate,C5H8N2O5
C00439,N-Formimino-L-glutamate,C6H10N2O4
C00440,5-Methyltetrahydrofolate,C20H25N7O6
C00441,L-Aspartate 4-semialdehyde,C4H7NO3
C00444,5'-Phosphooligoribonucleotide,C10H19O16P3R2(C5H8O6PR)n
C00445,"5,10-Methenyltetrahydrofolate",C20H22N7O6
C00446,alpha-D-Galactose 1-phosphate,C6H13O9P
C00447,"Sedoheptulose 1,7-bisphosphate",C7H16O13P2
C00448,"trans,trans-Farnesyl diphosphate",C15H28O7P2
C00449,"N6-(L-1,3-Dicarboxypropyl)-L-lysine",C11H20N2O6
C00450,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate",C6H9NO2
C00451,"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate",C6H8O7
C00454,NDP,C5H11O10P2R
C00455,Nicotinamide D-ribonucleotide,C11H15N2O8P
C00458,dCTP,C9H16N3O13P3
C00459,dTTP,C10H17N2O14P3
C00460,dUTP,C9H15N2O14P3
C00461,Chitin,(C8H13NO5)n
C00462,Halide,HX
C00463,Indole,C8H7N
C00464,Mannan,
C00466,Acetoin,C4H8O2
C00468,Estrone,C18H22O2
C00469,Ethanol,C2H6O
C00470,Pectate,C12H18O13(C6H8O6)n-2
C00471,Plasmin,
C00472,p-Benzoquinone,C6H4O2
C00473,Retinol,C20H30O
C00474,Ribitol,C5H12O5
C00475,Cytidine,C9H13N3O5
C00476,D-Lyxose,C5H10O5
C00477,Ecdysone,C27H44O6
C00478,Lichenin,C6H10O5
C00479,Propanal,C3H6O
C00480,Pullulan,(C36H60O30)n
C00481,Pyrazole,C3H4N2
C00482,Sinapate,C11H12O5
C00483,Tyramine,C8H11NO
C00484,Arylamide,C7H6NOR
C00486,Bilirubin,C33H36N4O6
C00487,Carnitine,C7H16NO3
C00488,Formamide,CH3NO
C00489,Glutarate,C5H8O4
C00490,Itaconate,C5H6O4
C00491,L-Cystine,C6H12N2O4S2
C00492,Raffinose,C18H32O16
C00493,Shikimate,C7H10O5
C00494,Sisomicin,C19H37N5O7
C00495,Sulochrin,C17H16O7
C00496,Ubiquitin,
C00497,(R)-Malate,C4H6O5
C00498,ADP-glucose,C16H25N5O15P2
C00499,Allantoate,C4H8N4O4
C00500,Biliverdin,C33H34N4O6
C00501,CDP-glucose,C15H25N3O16P2
C00502,D-Xylonate,C5H10O6
C00503,Erythritol,C4H10O4
C00504,Folate,C19H19N7O6
C00505,Gentamicin,
C00506,L-Cysteate,C3H7NO5S
C00507,L-Rhamnose,C6H12O5
C00508,L-Ribulose,C5H10O5
C00509,Naringenin,C15H12O5
C00510,Oleoyl-CoA,C39H68N7O17P3S
C00511,Acrylic acid,C3H4O2
C00512,Benzoyl-CoA,C28H40N7O17P3S
C00513,CDP-glycerol,C12H21N3O13P2
C00514,D-Mannonate,C6H12O7
C00515,D-Ornithine,C5H12N2O2
C00516,Fibronectin,
C00517,Hexadecanal,C16H32O
C00518,Hyaluronate,(C14H21NO12)n
C00519,Hypotaurine,C2H7NO2S
C00521,(S)-Limonene,C10H16
C00522,(R)-Pantoate,C6H12O4
C00523,Androsterone,C19H30O2
C00524,Cytochrome c,C42H44FeN8O8S2R4
C00525,D-Tryptophan,C11H12N2O2
C00526,Deoxyuridine,C9H12N2O5
C00527,Glutaryl-CoA,C26H42N7O19P3S
C00528,Glycopeptide,C36H64N8O17
C00530,Hydroquinone,C6H6O2
C00531,Itaconyl-CoA,C26H40N7O19P3S
C00532,L-Arabitol,C5H12O5
C00533,Nitric oxide,NO
C00534,Pyridoxamine,C8H12N2O2
C00535,Testosterone,C19H28O2
C00536,Triphosphate,H5P3O10
C00538,2-Oxoaldehyde,C2HO2R
C00539,Aromatic acid,C7H6O2
C00540,Cinnamoyl-CoA,C30H42N7O17P3S
C00541,Cob(II)alamin,C62H88CoN13O14P
C00542,Cystathionine,C7H14N2O4S
C00543,Dimethylamine,C2H7N
C00544,Homogentisate,C8H8O4
C00545,L-Arabinonate,C5H10O6
C00546,Methylglyoxal,C3H4O2
C00547,L-Noradrenaline,C8H11NO3
C00548,Phenyl acetate,C8H8O2
C00549,RNA (poly(U)),C18H23N4O14P(C9H11N2O8P)n
C00550,Sphingomyelin,C24H49N2O6PR
C00551,beta-D-Glucan,
C00552,meso-Tartaric acid,C4H6O6
C00553,(+)-Neomenthol,C10H20O
C00555,4-Aminobutyraldehyde,C4H9NO
C00556,Benzyl alcohol,C7H8O
C00557,Cyclopentanone,C5H8O
C00558,D-Tagaturonate,C6H10O7
C00559,Deoxyadenosine,C10H13N5O3
C00561,Mandelonitrile,C8H7NO
C00562,Phosphoprotein,
C00563,Phosphoramidon,C23H34N3O10P
C00565,Trimethylamine,C3H9N
C00566,(3S)-Citryl-CoA,C27H42N7O22P3S
C00568,4-Aminobenzoate,C7H7NO2
C00569,Arabinogalactan,
C00570,CDP-ethanolamine,C11H20N4O11P2
C00571,Cyclohexylamine,C6H13N
C00573,Keratan sulfate,(C28H46N2O29S3)n
C00574,beta-D-Fucoside,C6H11O5R
C00575,"3',5'-Cyclic AMP",C10H12N5O6P
C00576,Betaine aldehyde,C5H12NO
C00577,D-Glyceraldehyde,C3H6O3
C00579,Dihydrolipoamide,C8H17NOS2
C00580,Dimethyl sulfide,C2H6S
C00581,Guanidinoacetate,C3H7N3O2
C00582,Phenylacetyl-CoA,C29H42N7O17P3S
C00583,"Propane-1,2-diol",C3H8O2
C00584,Prostaglandin E2,C20H32O5
C00585,Protein tyrosine,C10H10N2O3R2
C00586,2-Deoxy-D-glucose,C6H12O5
C00587,3-Hydroxybenzoate,C7H6O3
C00588,Choline phosphate,C5H15NO4P
C00590,Coniferyl alcohol,C10H12O3
C00591,N-Acylneuraminate,C10H16NO9R
C00593,Sulfoacetaldehyde,C2H4O4S
C00596,"2-Hydroxy-2,4-pentadienoate",C5H6O3
C00597,Glycerate 3-phosphate,C3H7O7P
C00599,Cholest-4-en-3-one,C27H44O
C00601,Phenylacetaldehyde,C8H8O
C00602,beta-D-Galactoside,C6H11O6R
C00603,(S)-Ureidoglycolate,C3H6N2O4
C00604,"1,10-Phenanthroline",C12H8N2
C00605,"2,3-Dehydroacyl-CoA",C24H37N7O17P3SR
C00606,3-Sulfino-L-alanine,C3H7NO4S
C00607,Chondroitin sulfate,(C14H18NO11R3)n
C00608,Deoxyribonucleotide,C5H10O6PR
C00609,Long-chain aldehyde,C3H5OR
C00611,N-Acetyllactosamine,C14H25NO11
C00612,N1-Acetylspermidine,C9H21N3O
C00613,Protein-L-arginine,C7H13N5O2R2
C00614,Protein glutamate,C6H8N2O4R2
C00615,Protein histidine,C7H8N4O2R2
C00616,Quercetin 3-sulfate,C15H10O10S
C00617,UDP-D-galacturonate,C15H22N2O18P2
C00618,3-Dehydro-L-gulonate,C6H10O7
C00619,3-Oxo-Delta4-steroid,C19H28O
C00620,alpha-D-Ribose 1-phosphate,C5H11O8P
C00621,Dolichyl diphosphate,C20H38O7P2(C5H8)n
C00623,sn-Glycerol 1-phosphate,C3H9O6P
C00624,N-Acetyl-L-glutamate,C7H11NO5
C00625,N-Acyl-D-mannosamine,C7H12NO6R
C00627,Pyridoxine phosphate,C8H12NO6P
C00628,"2,5-Dihydroxybenzoate",C7H6O4
C00630,2-Methylpropanoyl-CoA,C25H42N7O17P3S
C00631,2-Phospho-D-glycerate,C3H7O7P
C00632,3-Hydroxyanthranilate,C7H7NO3
C00633,4-Hydroxybenzaldehyde,C7H6O2
C00634,Chondroitin 4-sulfate,(C14H21NO14S)n
C00635,Chondroitin 6-sulfate,(C14H21NO14S)n
C00636,D-Mannose 1-phosphate,C6H13O9P
C00637,Indole-3-acetaldehyde,C10H9NO
C00638,Long-chain fatty acid,C3H5O2R
C00639,Prostaglandin F2alpha,C20H34O5
C00640,(3S)-3-Hydroxyacyl-CoA,C24H39N7O18P3SR
C00641,"1,2-Diacyl-sn-glycerol",C5H6O5R2
C00642,4-Hydroxyphenylacetate,C8H8O3
C00643,5-Hydroxy-L-tryptophan,C11H12N2O3
C00644,D-Mannitol 1-phosphate,C6H15O9P
C00645,N-Acetyl-D-mannosamine,C8H15NO6
C00647,Pyridoxamine phosphate,C8H13N2O5P
C00650,4-Hydroxymandelonitrile,C8H7NO2
C00651,4-Methylene-L-glutamate,C6H9NO4
C00652,"D-Arabinono-1,4-lactone",C5H8O5
C00653,Poly(ribitol phosphate),(C5H11O7P)n
C00655,Xanthosine 5'-phosphate,C10H13N4O9P
C00658,"trans-2,3-Dehydroacyl-CoA",C24H37N7O17P3SR
C00659,2-Aceto-2-hydroxybutanoate,C6H10O4
C00661,Glyceraldehyde 3-phosphate,C3H7O6P
C00662,Reduced adrenal ferredoxin,
C00663,beta-D-Glucose 1-phosphate,C6H13O9P
C00664,5-Formiminotetrahydrofolate,C20H24N8O6
C00665,"beta-D-Fructose 2,6-bisphosphate",C6H14O12P2
C00666,"LL-2,6-Diaminoheptanedioate",C7H14N2O4
C00667,Oxidized adrenal ferredoxin,
C00668,alpha-D-Glucose 6-phosphate,C6H13O9P
C00669,gamma-L-Glutamyl-L-cysteine,C8H14N2O5S
C00670,sn-Glycero-3-phosphocholine,C8H21NO6P
C00671,(S)-3-Methyl-2-oxopentanoic acid,C6H10O3
C00672,2-Deoxy-D-ribose 1-phosphate,C5H11O7P
C00673,2-Deoxy-D-ribose 5-phosphate,C5H11O7P
C00674,"5alpha-Androstane-3,17-dione",C19H28O2
C00675,Deoxynucleoside 3'-phosphate,C5H10O6PR
C00676,Deoxynucleoside 5'-phosphate,C5H10O6PR
C00677,Deoxynucleoside triphosphate,C5H12O12P3R
C00679,5-Dehydro-4-deoxy-D-glucarate,C6H8O7
C00680,"meso-2,6-Diaminoheptanedioate",C7H14N2O4
C00681,1-Acyl-sn-glycerol 3-phosphate,C4H8O7PR
C00682,2-Hydroxymuconate semialdehyde,C6H6O4
C00683,(S)-Methylmalonyl-CoA,C25H40N7O19P3S
C00684,2-Dehydro-3-deoxy-L-arabinonate,C5H8O5
C00685,3-Oxoacyl-[acyl-carrier protein],C3H2O2SR2
C00686,N-Acyl-D-mannosamine 6-phosphate,C7H13NO9PR
C00688,dTDP-4-dehydro-beta-L-rhamnose,C16H24N2O15P2
C00689,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P
C00691,"2,4,6/3,5-Pentahydroxycyclohexanone",C6H10O6
C00692,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H43N5O23P2
C00693,"trans-2,3-Dehydroacyl-[acyl-carrier protein]",C3H2OSR2
