"Gene ID","Organism","Genomic Location (Gene)","Product Description","Gene Name or Symbol","Entrez Gene ID","UniProt ID(s)"
"AAEL000092","Aedes aegypti LVP_AGWG","AaegL5_3:104,849,610..104,850,635(-)","glutathione transferase","GSTX1","5563650","A0A1S4EUX1,Q0C791"
"AAEL000094","Aedes aegypti LVP_AGWG","AaegL5_3:103,926,942..103,990,149(+)","unspecified product","N/A","5563562","Q0C772"
"AAEL000095","Aedes aegypti LVP_AGWG","AaegL5_3:103,390,534..103,457,778(-)","unspecified product","N/A","5563600","N/A"
"AAEL000097","Aedes aegypti LVP_AGWG","AaegL5_3:104,463,654..104,469,002(-)","n-acetylneuraminate synthetase","N/A","5563645","A0A1S4EUX5,Q0C783"
"AAEL000098","Aedes aegypti LVP_AGWG","AaegL5_3:103,726,063..103,830,545(+)","unspecified product","N/A","5563631","N/A"
"AAEL000099","Aedes aegypti LVP_AGWG","AaegL5_3:105,159,323..105,162,908(+)","Clip-Domain Serine Protease  family B.","CLIPB33","5563550","A0A1S4EUY4,Q0C7A5"
"AAEL000101","Aedes aegypti LVP_AGWG","AaegL5_1:195,199,846..195,202,534(+)","AMP dependent coa ligase","N/A","5567779","A0A1S4EUY3,Q17Q45"
"AAEL000102","Aedes aegypti LVP_AGWG","AaegL5_1:197,343,863..197,357,454(-)","unspecified product","N/A","5567769","A0A1S4EUY1,Q17Q55,Q17Q56"
"AAEL000106","Aedes aegypti LVP_AGWG","AaegL5_1:195,034,264..195,055,356(-)","unspecified product","N/A","5567782","A0A1S4EUY5,Q1HRD8"
"AAEL000107","Aedes aegypti LVP_AGWG","AaegL5_1:194,506,247..194,511,110(+)","unspecified product","N/A","5567799","A0A1S4EUY7,Q17Q23"
"AAEL000108","Aedes aegypti LVP_AGWG","AaegL5_1:194,980,577..194,982,511(-)","leucine aminopeptidase","N/A","5567804,5567804","Q17Q37"
"AAEL000109","Aedes aegypti LVP_AGWG","AaegL5_1:194,876,365..194,915,431(-)","Enolase-phosphatase E1 (EC 3.1.3.77)(2,3-diketo-5-methylthio-1-phosphopentane phosphatase)","N/A","5567790","Q17Q32"
"AAEL000111","Aedes aegypti LVP_AGWG","AaegL5_1:197,332,350..197,333,804(+)","nitrilase, putative","N/A","5567770,5567770","Q17Q54"
"AAEL000113","Aedes aegypti LVP_AGWG","AaegL5_1:197,465,891..197,467,061(-)","unspecified product","N/A","5567767","Q16VZ7,Q17Q58"
"AAEL000115","Aedes aegypti LVP_AGWG","AaegL5_1:195,025,166..195,026,143(+)","unspecified product","N/A","5567783","Q17Q40,Q17Q41,Q1DGF2"
"AAEL000116","Aedes aegypti LVP_AGWG","AaegL5_1:194,948,264..194,953,805(+)","Anaphase-promoting complex subunit 4 [Source:UniProtKB/TrEMBL;Acc:Q17Q34]","N/A","5567788,5567788","A0A1S4EUZ8,Q17Q34"
"AAEL000117","Aedes aegypti LVP_AGWG","AaegL5_2:110,229,335..110,230,664(-)","unspecified product","N/A","5567756,5567756","Q17Q75"
"AAEL000118","Aedes aegypti LVP_AGWG","AaegL5_1:194,966,279..194,970,258(-)","Cleavage and polyadenylation specificity factor subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUZ6]","N/A","5567787","A0A0P6IU15,A0A1S4EUZ6,Q17Q35"
"AAEL000119","Aedes aegypti LVP_AGWG","AaegL5_1:195,093,307..195,095,524(+)","AMP dependent coa ligase","N/A","5567781,5567781","Q17Q43"
"AAEL000122","Aedes aegypti LVP_AGWG","AaegL5_1:194,423,079..194,451,279(-)","unspecified product","N/A","5567803,5567803","Q16U58"
"AAEL000123","Aedes aegypti LVP_AGWG","AaegL5_1:170,394,142..170,804,064(+)","unspecified product","N/A","5567765","A0A1S4EV00,Q17Q59,Q17Q61"
"AAEL000124","Aedes aegypti LVP_AGWG","AaegL5_2:109,682,934..109,683,995(-)","unspecified product","N/A","5567749,5567749","Q17Q67"
"AAEL000126","Aedes aegypti LVP_AGWG","AaegL5_2:110,066,764..110,143,707(+)","molybdopterin cofactor synthesis protein a","N/A","5567757,5567757","Q17Q71"
"AAEL000127","Aedes aegypti LVP_AGWG","AaegL5_1:195,275,336..195,299,589(-)","AMP dependent coa ligase","N/A","5567778","A0A1S4EV05"
"AAEL000128","Aedes aegypti LVP_AGWG","AaegL5_2:110,149,555..110,194,421(+)","P130","N/A","5567758","A0A1S4EV04,Q17Q73"
"AAEL000134","Aedes aegypti LVP_AGWG","AaegL5_1:194,494,267..194,504,980(-)","unspecified product","N/A","5567800,5567800","Q17Q22"
"AAEL000137","Aedes aegypti LVP_AGWG","AaegL5_1:170,916,741..171,038,411(-)","unspecified product","N/A","5567762","A0A1S4EV30,Q17Q62"
"AAEL000138","Aedes aegypti LVP_AGWG","AaegL5_1:194,565,902..194,573,546(+)","NADH dehydrogenase, putative","N/A","5567793","Q16KC4,Q17Q29"
"AAEL000139","Aedes aegypti LVP_AGWG","AaegL5_2:109,704,085..109,705,535(+)","odorant binding protein OBP5","OBP5","5567750,5567750","Q17Q68"
"AAEL000140","Aedes aegypti LVP_AGWG","AaegL5_1:194,457,887..194,463,015(+)","unspecified product","N/A","5567802,5567802","Q17Q20"
"AAEL000143","Aedes aegypti LVP_AGWG","AaegL5_1:197,311,526..197,312,787(+)","unspecified product","N/A","5567772","A0A1S4EUY9,A0A1S4EV34,Q17Q52,Q17Q53"
"AAEL000146","Aedes aegypti LVP_AGWG","AaegL5_1:197,293,688..197,294,955(-)","nitrilase, putative","N/A","5567773","A0A1S4EV17,Q17Q50,Q17Q51"
"AAEL000147","Aedes aegypti LVP_AGWG","AaegL5_1:194,947,334..194,948,175(-)","single-stranded DNA binding protein, putative","N/A","5567789,5567789","Q17Q33"
"AAEL000148","Aedes aegypti LVP_AGWG","AaegL5_1:194,462,951..194,472,169(-)","unspecified product","N/A","5567801","A0A1S4EV40,Q16EI8,Q17Q21"
"AAEL000149","Aedes aegypti LVP_AGWG","AaegL5_1:195,018,068..195,019,717(-)","Histone deacetylase complex subunit SAP30 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q17Q39]","N/A","5567784,5567784","Q17Q39"
"AAEL000151","Aedes aegypti LVP_AGWG","AaegL5_2:110,325,298..110,326,131(+)","unspecified product","N/A","5567754,5567754","Q16U53"
"AAEL000152","Aedes aegypti LVP_AGWG","AaegL5_2:110,142,600..110,143,722(-)","unspecified product","N/A","5567753,5567753","Q17Q72"
"AAEL000154","Aedes aegypti LVP_AGWG","AaegL5_1:194,970,716..194,983,271(+)","unspecified product","N/A","5567785","A0A1S4EV45,Q17Q36,Q17Q38"
"AAEL000157","Aedes aegypti LVP_AGWG","AaegL5_1:194,519,336..194,535,062(-)","unspecified product","N/A","5567796","A0A0P6IU46,A0A1S4EV27,Q17Q24,Q17Q25"
"AAEL000159","Aedes aegypti LVP_AGWG","AaegL5_3:109,661,012..109,674,635(-)","nipsnap","N/A","5570055","A0A1S4EV42,Q17Q08"
"AAEL000162","Aedes aegypti LVP_AGWG","AaegL5_3:212,688,192..212,705,120(-)","gustatory receptor (Gr34)","Gr34","5570009","N/A"
"AAEL000163","Aedes aegypti LVP_AGWG","AaegL5_3:109,548,549..109,549,679(-)","mitochondrial inner membrane protein translocase, 22kD-subunit, putative","N/A","5570002,5570002","Q17Q11"
"AAEL000164","Aedes aegypti LVP_AGWG","AaegL5_3:109,120,216..109,125,848(-)","d-amino acid oxidase","N/A","5569998","A0A1S4EV47,Q17Q16"
"AAEL000165","Aedes aegypti LVP_AGWG","AaegL5_3:215,582,061..215,624,257(+)","unspecified product","N/A","5570039,5570039","Q17PX3"
"AAEL000166","Aedes aegypti LVP_AGWG","AaegL5_3:109,173,038..109,418,842(+)","unspecified product","N/A","5570006,5570006","N/A"
"AAEL000170","Aedes aegypti LVP_AGWG","AaegL5_3:212,743,206..212,766,107(-)","unspecified product","N/A","5570011,5570011","Q17Q01,Q17Q02"
"AAEL000172","Aedes aegypti LVP_AGWG","AaegL5_3:215,624,144..215,709,534(-)","unspecified product","N/A","5570041","Q17PX1"
"AAEL000173","Aedes aegypti LVP_AGWG","AaegL5_3:212,829,516..212,830,735(-)","chromatin assembly factor-I p150 subunit, putative","N/A","5570013,5570013","Q17PZ9"
"AAEL000174","Aedes aegypti LVP_AGWG","AaegL5_3:214,574,166..214,596,376(+)","retinal protein","N/A","5570028","A0A1S4EV41,Q17PY4"
"AAEL000175","Aedes aegypti LVP_AGWG","AaegL5_3:212,388,318..212,418,232(+)","Eukaryotic translation initiation factor 3 subunit C [Source:UniProtKB/Swiss-Prot;Acc:Q17Q06]","eIF3-S8","5570007,5570007","A0A1S4EV56,Q17Q06"
"AAEL000176","Aedes aegypti LVP_AGWG","AaegL5_3:212,440,781..212,650,650(-)","unspecified product","N/A","5570008","Q17Q05"
"AAEL000178","Aedes aegypti LVP_AGWG","AaegL5_3:215,836,092..215,847,252(-)","ubiquinone/menaquinone biosynthesis methyltransferase","N/A","5570045,5570045","Q17PW7"
"AAEL000179","Aedes aegypti LVP_AGWG","AaegL5_3:212,830,846..212,839,647(+)","ubiquitin-conjugating enzyme E2 l","N/A","5570014,5570014","Q17PZ8"
"AAEL000180","Aedes aegypti LVP_AGWG","AaegL5_3:213,028,530..213,029,334(+)","mitochondrial ribosomal protein, L17","mRpL17","5570019","A0A1S4EV46,Q17PZ3"
"AAEL000181","Aedes aegypti LVP_AGWG","AaegL5_3:109,023,323..109,074,669(+)","polybromo-1","N/A","5569999","N/A"
"AAEL000182","Aedes aegypti LVP_AGWG","AaegL5_3:213,029,278..213,029,697(-)","unspecified product","N/A","5570020,5570020","Q17PZ2,Q1HRI1"
"AAEL000184","Aedes aegypti LVP_AGWG","AaegL5_3:215,871,307..215,878,559(+)","unspecified product","N/A","5570057,5570057","Q17PW6"
"AAEL000185","Aedes aegypti LVP_AGWG","AaegL5_3:215,990,942..216,027,284(-)","eukaryotic translation initiation factor","N/A","5570050,5570050","Q17PW1"
"AAEL000186","Aedes aegypti LVP_AGWG","AaegL5_3:216,234,027..216,235,130(+)","unspecified product","N/A","5570054,5570054","Q17PV6"
"AAEL000187","Aedes aegypti LVP_AGWG","AaegL5_3:214,515,431..214,566,008(-)","lim-kinase1","N/A","5570027","A0A1S4EV79"
"AAEL000188","Aedes aegypti LVP_AGWG","AaegL5_3:109,426,017..109,448,467(-)","elongase, putative","N/A","5570005,5570005","Q17Q14"
"AAEL000191","Aedes aegypti LVP_AGWG","AaegL5_3:215,941,838..215,969,924(+)","unspecified product","N/A","5570048,5570048","Q17PW3"
"AAEL000193","Aedes aegypti LVP_AGWG","AaegL5_3:212,882,260..212,936,285(-)","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","N/A","5570016,5570016","Q17PZ6"
"AAEL000194","Aedes aegypti LVP_AGWG","AaegL5_3:214,612,687..214,659,084(-)","phosphatidylinositol 4-kinase","N/A","5570029","A0A1S4EV63"
"AAEL000195","Aedes aegypti LVP_AGWG","AaegL5_3:212,718,171..212,731,582(-)","unspecified product","N/A","5570010","A0A1S4EV61,Q17Q03"
"AAEL000196","Aedes aegypti LVP_AGWG","AaegL5_3:215,974,803..215,984,542(+)","unspecified product","N/A","5570049,5570049","Q17PW2"
"AAEL000199","Aedes aegypti LVP_AGWG","AaegL5_3:213,008,770..213,024,654(-)","arginyl-tRNA synthetase","N/A","5570018","A0A1S4EV92,Q17PZ4"
"AAEL000200","Aedes aegypti LVP_AGWG","AaegL5_3:215,597,130..215,597,712(-)","unspecified product","N/A","5570040,5570040","Q17PX2,X4YJV2"
"AAEL000201","Aedes aegypti LVP_AGWG","AaegL5_3:212,770,842..212,829,533(+)","DNA replication helicase dna2","N/A","5570012","A0A1S4EV68,Q17Q00"
"AAEL000203","Aedes aegypti LVP_AGWG","AaegL5_3:214,757,555..214,763,799(+)","trypsin","N/A","5570033","A0A1S4EV66,Q17PX9"
"AAEL000204","Aedes aegypti LVP_AGWG","AaegL5_3:216,038,299..216,190,199(-)","unspecified product","N/A","5570053","N/A"
"AAEL000206","Aedes aegypti LVP_AGWG","AaegL5_3:213,099,516..213,100,251(-)","ninjurin A, putative","N/A","5570022","Q17PZ0"
"AAEL000208","Aedes aegypti LVP_AGWG","AaegL5_3:212,976,558..212,977,635(+)","copii-coated vesicle membrane protein P24","N/A","5570017,5570017","Q17PZ5,Q6E5W8"
"AAEL000210","Aedes aegypti LVP_AGWG","AaegL5_3:216,221,170..216,227,720(-)","mitochondrial ribosomal protein L2","mRpL2","5570052,5570052","Q17PV7"
"AAEL000211","Aedes aegypti LVP_AGWG","AaegL5_3:212,866,537..212,867,191(-)","unspecified product","N/A","5570015,5570015","Q17PZ7"
"AAEL000213","Aedes aegypti LVP_AGWG","AaegL5_3:109,099,834..109,119,996(-)","d-amino acid oxidase","N/A","5569995","A0A1S4EV77,Q17Q17"
"AAEL000214","Aedes aegypti LVP_AGWG","AaegL5_3:109,553,815..109,558,652(+)","vacuolar protein sorting (vps33)","N/A","5570059,5570059","Q17Q10"
"AAEL000215","Aedes aegypti LVP_AGWG","AaegL5_3:213,030,437..213,035,124(+)","ribonuclease P, 29kD-subunit, putative","N/A","5570021","A0A1S4EV75,Q17PZ1"
"AAEL000216","Aedes aegypti LVP_AGWG","AaegL5_3:109,468,148..109,471,286(-)","elongase, putative","N/A","5570004","A0A1S4EV93,Q17Q13"
"AAEL000217","Aedes aegypti LVP_AGWG","AaegL5_3:109,601,042..109,649,889(-)","serine/threonine protein kinase","N/A","5570058","N/A"
"AAEL000219","Aedes aegypti LVP_AGWG","AaegL5_1:6,592,041..6,593,668(+)","lactoylglutathione lyase","N/A","5572023,5572023","Q17PU4"
"AAEL000221","Aedes aegypti LVP_AGWG","AaegL5_2:227,025,656..227,068,311(-)","mediator complex, subunit, putative","N/A","5572039,5572039","A0A1S4EV81"
"AAEL000223","Aedes aegypti LVP_AGWG","AaegL5_1:5,583,964..5,586,046(-)","alpha-glucosidase","N/A","5572031,5572031","Q17PT5"
"AAEL000224","Aedes aegypti LVP_AGWG","AaegL5_2:358,334,551..358,446,130(+)","serine protease","N/A","5572015","A0A1S4EV87"
"AAEL000226","Aedes aegypti LVP_AGWG","AaegL5_2:227,176,605..227,185,790(-)","J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4EV88]","N/A","5572040","A0A1S4EV88,Q17PS5"
"AAEL000227","Aedes aegypti LVP_AGWG","AaegL5_2:227,505,152..227,548,515(-)","Class B Scavenger Receptor (CD36 domain).","SCRB8","5572046","A0A1S4EVA3,Q17PS1"
"AAEL000229","Aedes aegypti LVP_AGWG","AaegL5_1:7,128,424..7,129,713(+)","prosialokinin precursor","N/A","5572020,5572020","P42634"
"AAEL000230","Aedes aegypti LVP_AGWG","AaegL5_1:5,533,812..5,534,732(-)","unspecified product","N/A","5572032,5572032","Q17PT4"
"AAEL000231","Aedes aegypti LVP_AGWG","AaegL5_1:6,560,713..6,576,286(-)","oligopeptidase","N/A","5572024,5572024","Q17PU3"
"AAEL000234","Aedes aegypti LVP_AGWG","AaegL5_2:227,263,910..227,322,090(-)","Class B Scavenger Receptor (CD36 domain).","SCRB7","5572043","N/A"
"AAEL000235","Aedes aegypti LVP_AGWG","AaegL5_2:227,223,220..227,264,246(+)","PP1c_bdg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4EV95]","N/A","5572041","A0A1S4EV95,Q17PS4"
"AAEL000236","Aedes aegypti LVP_AGWG","NIGP01000515:19,721..21,202(+)","unspecified product","N/A","5572034,5572034","Q17PT2"
"AAEL000238","Aedes aegypti LVP_AGWG","AaegL5_2:358,529,553..358,672,908(+)","Clip-Domain Serine Protease  family D.","CLIPD9","5572014","A0A1S4EVB2,Q17PV4"
"AAEL000239","Aedes aegypti LVP_AGWG","AaegL5_1:6,643,895..6,650,088(+)","clathrin coat assembly protein","N/A","5572019","Q17PU7"
"AAEL000240","Aedes aegypti LVP_AGWG","AaegL5_2:227,780,710..227,818,771(-)","unspecified product","N/A","5572051","A0A0P6IVQ6"
"AAEL000241","Aedes aegypti LVP_AGWG","AaegL5_1:5,601,354..5,603,113(-)","unspecified product","N/A","5572030,5572030","Q17PT6"
"AAEL000242","Aedes aegypti LVP_AGWG","AaegL5_1:5,749,599..6,294,412(-)","voltage-gated potassium channel","N/A","5572028","N/A"
"AAEL000243","Aedes aegypti LVP_AGWG","AaegL5_1:8,118,192..8,372,076(-)","leucine-rich transmembrane protein","N/A","5572022","Q17PV0"
