v2 LocusID,v1 LocusID,Uniprot Acc N°,EMBL
Ec-27_005780,Esi_0000_0123,D8LB00,CBN76509.1
Ec-27_005770,Esi_0000_0124,D8LB01,CBN76510.1
Ec-27_005760,Esi_0000_0128,D8LB02,CBN76511.1
Ec-27_005750,Esi_0000_0131,D8LB03,CBN76512.1
,Esi_0000_0133,D8LB04,CBN76513.1
Ec-27_005740,Esi_0000_0135,D8LB05,CBN76514.1
Ec-27_005730,Esi_0000_0138,D8LB06,CBN76515.1
Ec-27_005720,Esi_0000_0139,D8LB07,CBN76516.1
Ec-27_005710,Esi_0000_0141,D8LB08,CBN76517.1
Ec-27_005700,Esi_0000_0142,D8LB09,CBN76518.1
Ec-27_005680,Esi_0000_0144,D8LB10,CBN76519.1
Ec-27_005670,Esi_0000_0145,D8LB11,CBN76520.1
Ec-27_005660,Esi_0000_0146,D8LB12,CBN76521.1
Ec-27_005650,Esi_0000_0157,D8LB13,CBN76522.1
Ec-27_005630,Esi_0000_0161,D8LB14,CBN76523.1
Ec-27_005620,Esi_0000_0162,D8LB15,CBN76524.1
Ec-27_005610,Esi_0000_0164,D8LB16,CBN76525.1
Ec-27_005600,Esi_0000_0165,D8LB17,CBN76526.1
Ec-27_005590,Esi_0000_0173,D8LB18,CBN76527.1
Ec-27_005580,Esi_0000_0182,D8LB19,CBN76528.1
Ec-27_005560,Esi_0000_0184,D8LB20,CBN76529.1
Ec-27_005540,Esi_0000_0188,D8LB21,CBN76530.1
Ec-27_005530,Esi_0000_0193,D8LB22,CBN76531.1
Ec-27_005510,Esi_0000_0197,D8LB23,CBN76532.1
Ec-27_005500,Esi_0000_0198,D8LB24,CBN76533.1
Ec-27_005490,Esi_0000_0199,D8LB25,CBN76534.1
Ec-27_005480,Esi_0000_0200,D8LB26,CBN76535.1
Ec-27_005470,Esi_0000_0201,D8LB27,CBN76536.1
Ec-27_005460,Esi_0000_0202,D8LB28,CBN76537.1
Ec-27_005450,Esi_0000_0204,D8LB29,CBN76538.1
Ec-27_005440,Esi_0000_0207,D8LB30,CBN76539.1
Ec-27_005430,Esi_0000_0211,D8LB31,CBN76540.1
Ec-27_005420,Esi_0000_0212,D8LB32,CBN76541.1
Ec-27_005410,Esi_0000_0213,D8LB33,CBN76542.1
Ec-27_005390,Esi_0000_0219,D8LB34,CBN76543.1
Ec-27_005380,Esi_0000_0220,D8LB35,CBN76544.1
Ec-27_005370,Esi_0000_0221,D8LB36,CBN76545.1
Ec-27_005360,Esi_0000_0222,D8LB37,CBN76546.1
Ec-27_005350,Esi_0000_0223,D8LB38,CBN76547.1
Ec-27_005340,Esi_0000_0224,D8LB39,CBN76548.1
Ec-27_005330,Esi_0000_0225,D8LB40,CBN76549.1
Ec-27_005310,Esi_0000_0226,D8LB41,CBN76550.1
Ec-27_005300,Esi_0000_0231,D8LB42,CBN76551.1
Ec-27_005290,Esi_0000_0234,D8LB43,CBN76552.1
Ec-27_005280,Esi_0000_0236,D8LB44,CBN76553.1
Ec-27_005270,Esi_0000_0238,D8LB45,CBN76554.1
Ec-27_005260,Esi_0000_0239,D8LB46,CBN76555.1
Ec-27_005250,Esi_0000_0240,D8LB47,CBN76556.1
Ec-27_005240,Esi_0000_0241,D8LB48,CBN76557.1
Ec-27_005230,Esi_0000_0244,D8LB49,CBN76558.1
Ec-27_005220,Esi_0000_0245,D8LB50,CBN76559.1
Ec-27_005200,Esi_0000_0246,D8LB51,CBN76560.1
Ec-27_005190,Esi_0000_0248,D8LB52,CBN76561.1
Ec-27_005170,Esi_0000_0249,D8LB53,CBN76562.1
Ec-27_005160,Esi_0000_0250,D8LB54,CBN76563.1
Ec-27_005150,Esi_0000_0251,D8LB55,CBN76564.1
Ec-27_005140,Esi_0000_0252,D8LB56,CBN76565.1
Ec-27_005130,Esi_0000_0253,D8LB57,CBN76566.1
obsolete,Esi_0000_0254,D8LB58,CBN76567.1
Ec-27_005120,Esi_0000_0256,D8LB59,CBN76568.1
Ec-27_005110,Esi_0000_0258,D8LB60,CBN76569.1
Ec-27_005100,Esi_0000_0259,D8LB61,CBN76570.1
Ec-27_005090,Esi_0000_0262,D8LB62,CBN76571.1
Ec-27_005070,Esi_0000_0263,D8LB63,CBN76572.1
Ec-27_005040,Esi_0000_0269,D8LB64,CBN76573.1
Ec-27_005030,Esi_0000_0270,D8LB65,CBN76574.1
Ec-27_005020,Esi_0000_0271,D8LB66,CBN76575.1
Ec-27_005010,Esi_0000_0272,D8LB67,CBN76576.1
Ec-27_005000,Esi_0000_0275,D8LB68,CBN76577.1
Ec-27_004990,Esi_0000_0279,D8LB69,CBN76578.1
Ec-27_004980,Esi_0000_0280,D8LB70,CBN76579.1
Ec-27_004970,Esi_0000_0281,D8LB71,CBN76580.1
Ec-27_004960,Esi_0000_0285,D8LB72,CBN76581.1
Ec-27_004950,Esi_0000_0287,D8LB73,CBN76582.1
Ec-27_004940,Esi_0000_0291,D8LB74,CBN76583.1
Ec-27_004930,Esi_0000_0293,D8LB75,CBN76584.1
Ec-27_004910,Esi_0000_0295,D8LB76,CBN76585.1
Ec-27_004900,Esi_0000_0296,D8LB77,CBN76586.1
Ec-27_004890,Esi_0000_0299,D8LB78,CBN76587.1
Ec-27_004880,Esi_0000_0300,D8LB79,CBN76588.1
Ec-27_004870,Esi_0000_0301,D8LB80,CBN76589.1
Ec-27_004860,Esi_0000_0304,D8LB81,CBN76590.1
Ec-27_004850,Esi_0000_0305,D8LB82,CBN76591.1
Ec-27_004840,Esi_0000_0308,D8LB83,CBN76592.1
Ec-27_004830,Esi_0000_0309,D8LB84,CBN76593.1
Ec-27_004820,Esi_0000_0310,D8LB85,CBN76594.1
Ec-27_004810,Esi_0000_0311,D8LB86,CBN76595.1
Ec-27_004800,Esi_0000_0312,D8LB87,CBN76596.1
Ec-27_004790,Esi_0000_0313,D8LB88,CBN76597.1
Ec-27_004780,Esi_0000_0314,D8LB89,CBN76598.1
Ec-27_004770,Esi_0000_0315,D8LB90,CBN76599.1
Ec-27_004760,Esi_0000_0316,D8LB91,CBN76600.1
Ec-27_004750,Esi_0000_0317,D8LB92,CBN76601.1
Ec-27_004740,Esi_0000_0319,D8LB93,CBN76602.1
Ec-27_004730,Esi_0000_0320,D8LB94,CBN76603.1
Ec-27_004720,Esi_0000_0321,D8LB95,CBN76604.1
Ec-27_004710,Esi_0000_0322,D8LB96,CBN76605.1
Ec-27_004700,Esi_0000_0324,D8LB97,CBN76606.1
Ec-27_004690,Esi_0000_0326,D8LB98,CBN76607.1
Ec-27_004680,Esi_0000_0330,D8LB99,CBN76608.1
Ec-27_004670,Esi_0000_0332,D8LBA0,CBN76609.1
Ec-27_004660,Esi_0000_0334,D8LBA1,CBN76610.1
Ec-27_004650,Esi_0000_0337,D8LBA2,CBN76611.1
Ec-27_004640,Esi_0000_0339,D8LBA3,CBN76612.1
Ec-27_004630,Esi_0000_0340,D8LBA4,CBN76613.1
Ec-27_004620,Esi_0000_0342,D8LBA5,CBN76614.1
,Esi_0000_0343,D8LBA6,CBN76615.1
Ec-27_004610,Esi_0000_0346,D8LBA7,CBN76616.1
Ec-27_004600,Esi_0000_0347,D8LBA8,CBN76617.1
Ec-27_004590,Esi_0000_0348,D8LBA9,CBN76618.1
Ec-27_004580,Esi_0000_0349,D8LBB0,CBN76619.1
Ec-27_004570,Esi_0000_0350,D8LBB1,CBN76620.1
Ec-27_004560,Esi_0000_0352,D8LBB2,CBN76621.1
Ec-27_004550,Esi_0000_0353,D8LBB3,CBN76622.1
Ec-27_004540,Esi_0000_0354,D8LBB4,CBN76623.1
Ec-27_004530,Esi_0000_0355,D8LBB5,CBN76624.1
Ec-27_004520,Esi_0000_0361,D8LBB6,CBN76625.1
Ec-27_004510,Esi_0000_0362,D8LBB7,CBN76626.1
Ec-27_004500,Esi_0000_0364,D8LBB8,CBN76627.1
Ec-27_004490,Esi_0000_0366,D8LBB9,CBN76628.1
Ec-27_004480,Esi_0000_0367,D8LBC0,CBN76629.1
Ec-27_004470,Esi_0000_0368,D8LBC1,CBN76630.1
Ec-27_004460,Esi_0000_0369,D8LBC2,CBN76631.1
Ec-27_004450,Esi_0000_0371,D8LBC3,CBN76632.1
Ec-27_004440,Esi_0000_0373,D8LBC4,CBN76633.1
Ec-27_004430,Esi_0000_0375,D8LBC5,CBN76634.1
Ec-27_004420,Esi_0000_0377,D8LBC6,CBN76635.1
Ec-27_004410,Esi_0000_0378,D8LBC7,CBN76636.1
,Esi_0000_0380,D8LBC8,CBN76637.1
Ec-27_004400,Esi_0000_0382,D8LBC9,CBN76638.1
Ec-27_004390,Esi_0000_0385,D8LBD0,CBN76639.1
Ec-27_004380,Esi_0000_0386,D8LBD1,CBN76640.1
Ec-27_004370,Esi_0000_0388,D8LBD2,CBN76641.1
Ec-27_004360,Esi_0000_0389,D8LBD3,CBN76642.1
Ec-27_004350,Esi_0000_0390,D8LBD4,CBN76643.1
Ec-27_004340,Esi_0000_0391,D8LBD5,CBN76644.1
Ec-27_004330,Esi_0000_0393,D8LBD6,CBN76645.1
Ec-27_004320,Esi_0000_0394,D8LBD7,CBN76646.1
Ec-27_004310,Esi_0000_0395,D8LBD8,CBN76647.1
,Esi_0000_0396,D8LBD9,CBN76648.1
Ec-27_004300,Esi_0000_0397,D8LBE0,CBN76649.1
Ec-27_004290,Esi_0000_0398,D8LBE1,CBN76650.1
Ec-27_004280,Esi_0000_0399,D8LBE2,CBN76651.1
Ec-27_004270,Esi_0000_0400,D8LBE3,CBN76652.1
Ec-27_004260,Esi_0000_0401,D8LBE4,CBN76653.1
Ec-27_004250,Esi_0000_0402,D8LBE5,CBN76654.1
Ec-27_004240,Esi_0000_0403,D8LBE6,CBN76655.1
Ec-27_004230,Esi_0000_0404,D8LBE7,CBN76656.1
Ec-27_004220,Esi_0000_0407,D8LBE8,CBN76657.1
Ec-27_004210,Esi_0000_0408,D8LBE9,CBN76658.1
Ec-27_004200,Esi_0000_0409,D8LBF0,CBN76659.1
Ec-27_004190,Esi_0000_0410,D8LBF1,CBN76660.1
Ec-27_004180,Esi_0000_0411,D8LBF2,CBN76661.1
Ec-27_004170,Esi_0000_0412,D8LBF3,CBN76662.1
Ec-27_004160,Esi_0000_0413,D8LBF4,CBN76663.1
Ec-27_004150,Esi_0000_0414,D8LBF5,CBN76664.1
Ec-27_004140,Esi_0000_0417,D8LBF6,CBN76665.1
,Esi_0000_0419,D8LBF7,CBN76666.1
Ec-27_004130,Esi_0000_0421,D8LBF8,CBN76667.1
Ec-27_004120,Esi_0000_0423,D8LBF9,CBN76668.1
Ec-27_004110,Esi_0000_0424,D8LBG0,CBN76669.1
Ec-27_004090,Esi_0000_0437,D8LBG1,CBN76670.1
Ec-27_004080,Esi_0000_0440,D8LBG2,CBN76671.1
Ec-27_004070,Esi_0000_0441,D8LBG3,CBN76672.1
Ec-27_004060,Esi_0000_0442,D8LBG4,CBN76673.1
Ec-27_004050,Esi_0000_0445,D8LBG5,CBN76674.1
Ec-27_004040,Esi_0000_0446,D8LBG6,CBN76675.1
Ec-27_004030,Esi_0000_0448,D8LBG7,CBN76676.1
Ec-27_004020,Esi_0000_0449,D8LBG8,CBN76677.1
Ec-27_004010,Esi_0000_0452,D8LBG9,CBN76678.1
Ec-27_004000,Esi_0000_0454,D8LBH0,CBN76679.1
Ec-27_003990,Esi_0000_0455,D8LBH1,CBN76680.1
Ec-27_003980,Esi_0000_0456,D8LBH2,CBN76681.1
Ec-27_003970,Esi_0000_0457,D8LBH3,CBN76682.1
Ec-27_003960,Esi_0000_0458,D8LBH4,CBN76683.1
Ec-27_003950,Esi_0000_0459,D8LBH5,CBN76684.1
,Esi_0000_0460,D8LBH6,CBN76685.1
Ec-27_003940,Esi_0000_0461,D8LBH7,CBN76686.1
Ec-27_003930,Esi_0000_0463,D8LBH8,CBN76687.1
Ec-27_003920,Esi_0000_0464,D8LBH9,CBN76688.1
Ec-27_003910,Esi_0000_0466,D8LBI0,CBN76689.1
Ec-27_003900,Esi_0000_0467,D8LBI1,CBN76690.1
Ec-27_003890,Esi_0000_0470,D8LBI2,CBN76691.1
Ec-27_003880,Esi_0000_0471,D8LBI3,CBN76692.1
Ec-27_003870,Esi_0000_0474,D8LBI4,CBN76693.1
Ec-27_003860,Esi_0000_0475,D8LBI5,CBN76694.1
Ec-27_003850,Esi_0000_0477,D8LBI6,CBN76695.1
Ec-27_003840,Esi_0000_0478,D8LBI7,CBN76696.1
Ec-27_003830,Esi_0000_0479,D8LBI8,CBN76697.1
Ec-27_003810,Esi_0000_0480,D8LBI9,CBN76698.1
Ec-27_003800,Esi_0000_0481,D8LBJ0,CBN76699.1
Ec-27_003790,Esi_0000_0483,D8LBJ1,CBN76700.1
Ec-27_003780,Esi_0000_0485,D8LBJ2,CBN76701.1
Ec-27_003770,Esi_0000_0487,D8LBJ3,CBN76702.1
Ec-27_003750,Esi_0000_0488,D8LBJ4,CBN76703.1
Ec-27_003740,Esi_0000_0489,D8LBJ5,CBN76704.1
Ec-27_003730,Esi_0000_0494,D8LBJ6,CBN76705.1
Ec-27_003720,Esi_0000_0496,D8LBJ7,CBN76706.1
Ec-27_003700,Esi_0000_0502,D8LBJ8,CBN76707.1
Ec-27_003690,Esi_0000_0503,D8LBJ9,CBN76708.1
Ec-27_003670,Esi_0000_0505,D8LBK0,CBN76709.1
Ec-27_003660,Esi_0000_0507,D8LBK1,CBN76710.1
Ec-27_003650,Esi_0000_0510,D8LBK2,CBN76711.1
Ec-27_003640,Esi_0000_0511,D8LBK3,CBN76712.1
Ec-27_003620,Esi_0000_0516,D8LBK4,CBN76713.1
Ec-27_003610,Esi_0000_0517,D8LBK5,CBN76714.1
Ec-27_003600,Esi_0000_0518,D8LBK6,CBN76715.1
Ec-27_003590,Esi_0000_0519,D8LBK7,CBN76716.1
Ec-27_003580,Esi_0000_0520,D8LBK8,CBN76717.1
Ec-27_003570,Esi_0000_0524,D8LBK9,CBN76718.1
Ec-27_003560,Esi_0000_0527,D8LBL0,CBN76719.1
Ec-27_003550,Esi_0000_0528,D8LBL1,CBN76720.1
Ec-27_003540,Esi_0000_0529,D8LBL2,CBN76721.1
Ec-27_003530,Esi_0000_0530,D8LBL3,CBN76722.1
Ec-27_003520,Esi_0000_0531,D8LBL4,CBN76723.1
Ec-27_003510,Esi_0000_0533,D8LBL5,CBN76724.1
Ec-27_003500,Esi_0000_0534,D8LBL6,CBN76725.1
Ec-27_003490,Esi_0000_0535,D8LBL7,CBN76726.1
Ec-27_003480,Esi_0000_0536,D8LBL8,CBN76727.1
Ec-27_003470,Esi_0000_0537,D8LBL9,CBN76728.1
Ec-27_003460,Esi_0000_0538,D8LBM0,CBN76729.1
Ec-27_003450,Esi_0000_0539,D8LBM1,CBN76730.1
Ec-27_003440,Esi_0000_0540,D8LBM2,CBN76731.1
Ec-27_003430,Esi_0000_0541,D8LBM3,CBN76732.1
Ec-27_003420,Esi_0000_0543,D8LBM4,CBN76733.1
Ec-27_003410,Esi_0000_0545,D8LBM5,CBN76734.1
Ec-27_003400,Esi_0000_0546,D8LBM6,CBN76735.1
Ec-27_003390,Esi_0000_0547,D8LBM7,CBN76736.1
Ec-27_003380,Esi_0000_0548,D8LBM8,CBN76737.1
Ec-27_003370,Esi_0000_0549,D8LBM9,CBN76738.1
Ec-27_003360,Esi_0000_0550,D8LBN0,CBN76739.1
Ec-27_003350,Esi_0000_0552,D8LBN1,CBN76740.1
Ec-27_003340,Esi_0000_0553,D8LBN2,CBN76741.1
,Esi_0000_0554,D8LBN3,CBN76742.1
Ec-27_003330,Esi_0000_0555,D8LBN4,CBN76743.1
Ec-27_003320,Esi_0000_0557,D8LBN5,CBN76744.1
Ec-27_003310,Esi_0000_0558,D8LBN6,CBN76745.1
Ec-27_003300,Esi_0000_0559,D8LBN7,CBN76746.1
Ec-27_003290,Esi_0000_0560,D8LBN8,CBN76747.1
Ec-27_003280,Esi_0000_0561,D8LBN9,CBN76748.1
Ec-27_003270,Esi_0000_0562,D8LBP0,CBN76749.1
Ec-27_003260,Esi_0000_0564,D8LBP1,CBN76750.1
Ec-27_003250,Esi_0000_0565,D8LBP2,CBN76751.1
Ec-27_003230,Esi_0000_0566,D8LBP3,CBN76752.1
Ec-27_003220,Esi_0000_0569,D8LBP4,CBN76753.1
Ec-27_003210,Esi_0000_0570,D8LBP5,CBN76754.1
Ec-27_003200,Esi_0000_0573,D8LBP6,CBN76755.1
Ec-27_003190,Esi_0000_0575,D8LBP7,CBN76756.1
Ec-27_003180,Esi_0000_0576,D8LBP8,CBN76757.1
Ec-27_003170,Esi_0000_0577,D8LBP9,CBN76758.1
Ec-27_003160,Esi_0000_0579,D8LBQ0,CBN76759.1
Ec-27_003150,Esi_0000_0580,D8LBQ1,CBN76760.1
,Esi_0000_0582,D8LBQ2,CBN76761.1
Ec-27_003130,Esi_0000_0583,D8LBQ3,CBN76762.1
Ec-27_003120,Esi_0000_0587,D8LBQ4,CBN76763.1
Ec-27_003110,Esi_0000_0588,D8LBQ5,CBN76764.1
Ec-27_003100,Esi_0000_0589,D8LBQ6,CBN76765.1
Ec-27_003090,Esi_0000_0591,D8LBQ7,CBN76766.1
Ec-27_003080,Esi_0000_0593,D8LBQ8,CBN76767.1
Ec-27_003070,Esi_0000_0594,D8LBQ9,CBN76768.1
Ec-27_003060,Esi_0000_0595,D8LBR0,CBN76769.1
Ec-27_003040,Esi_0000_0597,D8LBR1,CBN76770.1
Ec-27_003020,Esi_0000_0599,D8LBR2,CBN76771.1
Ec-27_003010,Esi_0000_0601,D8LBR3,CBN76772.1
Ec-27_003000,Esi_0000_0602,D8LBR4,CBN76773.1
Ec-27_002990,Esi_0000_0603,D8LBR5,CBN76774.1
Ec-27_002980,Esi_0000_0605,D8LBR6,CBN76775.1
Ec-27_002970,Esi_0000_0608,D8LBR7,CBN76776.1
Ec-27_002960,Esi_0000_0610,D8LBR8,CBN76777.1
Ec-27_002940,Esi_0000_0611,D8LBR9,CBN76778.1
Ec-27_002930,Esi_0000_0612,D8LBS0,CBN76779.1
Ec-27_002920,Esi_0000_0613,D8LBS1,CBN76780.1
Ec-27_002910,Esi_0000_0614,D8LBS2,CBN76781.1
Ec-27_002900,Esi_0000_0616,D8LBS3,CBN76782.1
Ec-27_002880,Esi_0000_0619,D8LBS4,CBN76783.1
Ec-27_002870,Esi_0000_0621,D8LBS5,CBN76784.1
Ec-27_002860,Esi_0000_0623,D8LBS6,CBN76785.1
Ec-27_002850,Esi_0000_0624,D8LBS7,CBN76786.1
Ec-27_002840,Esi_0000_0627,D8LBS8,CBN76787.1
Ec-27_002830,Esi_0000_0629,D8LBS9,CBN76788.1
Ec-27_002820,Esi_0000_0630,D8LBT0,CBN76789.1
Ec-27_002810,Esi_0000_0631,D8LBT1,CBN76790.1
Ec-27_002800,Esi_0000_0632,D8LBT2,CBN76791.1
Ec-27_002790,Esi_0000_0633,D8LBT3,CBN76792.1
Ec-27_002780,Esi_0000_0634,D8LBT4,CBN76793.1
Ec-27_002770,Esi_0000_0636,D8LBT5,CBN76794.1
Ec-27_002760,Esi_0000_0637,D8LBT6,CBN76795.1
Ec-27_002750,Esi_0000_0639,D8LBT7,CBN76796.1
Ec-27_002740,Esi_0000_0640,D8LBT8,CBN76797.1
Ec-27_002730,Esi_0000_0641,D8LBT9,CBN76798.1
Ec-27_002720,Esi_0000_0642,D8LBU0,CBN76799.1
Ec-27_002710,Esi_0000_0643,D8LBU1,CBN76800.1
Ec-27_002700,Esi_0000_0644,D8LBU2,CBN76801.1
Ec-27_002690,Esi_0000_0648,D8LBU3,CBN76802.1
Ec-27_002670,Esi_0000_0649,D8LBU4,CBN76803.1
Ec-27_002660,Esi_0000_0651,D8LBU5,CBN76804.1
Ec-27_002650,Esi_0000_0652,D8LBU6,CBN76805.1
Ec-27_002640,Esi_0000_0653,D8LBU7,CBN76806.1
Ec-27_002630,Esi_0000_0654,D8LBU8,CBN76807.1
,Esi_0000_0656,D8LBU9,CBN76808.1
Ec-27_002610,Esi_0000_0657,D8LBV0,CBN76809.1
Ec-27_002590,Esi_0000_0660,D8LBV1,CBN76810.1
Ec-27_002580,Esi_0000_0661,D8LBV2,CBN76811.1
Ec-27_002570,Esi_0000_0662,D8LBV3,CBN76812.1
Ec-27_005210,Esi_0000_0720,,
Ec-27_005180,Esi_0000_0721,,
Ec-27_005080,Esi_0000_0722,,
Ec-27_003240,Esi_0000_0723,,
Ec-27_002600,Esi_0000_0724,,
Ec-27_002680,Esi_0000_0725,,
Ec-27_004920,Esi_0000_0737,,
Ec-27_006510,Esi_0000_0738,,
Ec-27_003760,Esi_0000_0739,,
Ec-27_003710,Esi_0000_0740,,
Ec-27_003140,Esi_0000_0741,,
Ec-27_003050,Esi_0000_0742,,
Ec-27_006100,Esi_0000_0743,,
Ec-27_002950,Esi_0000_0744,,
Ec-27_002620,Esi_0000_0745,,
Ec-27_005910,Esi_0000_0746,,
Ec-27_005890,Esi_0000_0747,,
Ec-27_005690,Esi_0000_0748,,
Ec-27_005640,Esi_0000_0749,,
Ec-27_005570,Esi_0000_0750,,
Ec-27_005550,Esi_0000_0751,,
Ec-27_005520,Esi_0000_0752,,
Ec-27_005400,Esi_0000_0753,,
Ec-27_005320,Esi_0000_0754,,
Ec-27_005060,Esi_0000_0755,,
Ec-27_005050,Esi_0000_0756,,
Ec-27_006550,Esi_0000_0757,,
Ec-27_004100,Esi_0000_0758,,
Ec-27_003820,Esi_0000_0759,,
Ec-27_003680,Esi_0000_0760,,
Ec-27_003630,Esi_0000_0761,,
Ec-27_003030,Esi_0000_0762,,
Ec-27_002890,Esi_0000_0763,,
Ec-27_006000,Esi_0000_0764,,
Ec-27_005940,Esi_0000_0765,,
Ec-27_005800,Esi_0000_0766,,
Ec-01_008530,Esi_0002_0001,D7FPV7,CBJ48288.1
Ec-01_008520,Esi_0002_0003,D7FPV8,CBJ48289.1
Ec-01_008510,Esi_0002_0004,D7FPV9,CBJ48290.1
Ec-01_008500,Esi_0002_0005,D7FPW0,CBJ48291.1
Ec-01_008480,Esi_0002_0006,D7FPW1,CBJ48292.1
Ec-01_008470,Esi_0002_0010,D7FPW2,CBJ48293.1
Ec-01_008450,Esi_0002_0012,D7FPW3,CBJ48294.1
Ec-01_008440,Esi_0002_0013,D7FPW4,CBJ48295.1
Ec-01_008430,Esi_0002_0014,D7FPW5,CBJ48296.1
Ec-01_008420,Esi_0002_0015,D7FPW6,CBJ48297.1
Ec-01_008410,Esi_0002_0016,D7FPW7,CBJ48298.1
Ec-01_008400,Esi_0002_0017,D7FPW8,CBJ48299.1
Ec-01_008390,Esi_0002_0018,D7FPW9,CBJ48300.1
